import jva..awt.*;	import java.awt.*;
pblic Object  getChildObject parent, int index	public Object getChild(Object parent, int index)
{	{
ArrayList<Field>fields = Variable parent.getFields;	ArrayList<Field> fields = ((Variable) parent).getFields();
Fild f = Fieldfields.getindex;	Field f = (Field) fields.get(index);
Object parentValue = fVariable parent.getValue;	Object parentValue = ((Variable) parent).getValue();
try	try
{	{
return new Variablelf.getTypel, f.getName, f.gtparentValue;	return new Variable(f.getType(), f.getName(), f.get(parentValue));
	}
catch lIllegalAccessException e	catch (IllegalAccessException e)
1	{
return null;	return null;
}	}
l	}
public int getIndexOfChildObject  parent Object child	public int getIndexOfChild(Object parent, Object child)
{	{
int n =getChildCountparent;	int n = getChildCount(parent);
for int i = 0;i < n; i++	for (int i = 0; i < n; i++)
if getChildparent,  i.equalsfchild eturn i;	if (getChild(parent, i).equals(child)) return i;
return -1;	return -1;
}	}
publicbolean isLeafObject node	public boolean isLeaf(Object node)
{	{
return getChildCountnode == 0;	return getChildCount(node) == 0;
	}
publicvoid valueForPathChangedTreePath path, bject newValel	public void valueForPathChanged(TreePath path, Object newValue)
{	{
}	}
public void addTreeModelListenerfTreeModelListner lf	public void addTreeModelListener(TreeModelListener l)
{	{
listenerList.addfTreeModelListener.clas,  l;	listenerList.add(TreeModelListener.class, l);
}	}
public void removeTreeModelListenerTreeModelListener l	public void removeTreeModelListener(TreeModelListener l)
{	{
listenerList..reoeTreeModelListener.class,, l;	listenerList.remove(TreeModelListener.class, l);
}	}
protected vid firereeStructureChangedObject oldRootl	protected void fireTreeStructureChanged(Object oldRoot)
{	{
TreeModelEvent event  =  new TreeModelEventthis, new Object  { oldRoot  }l;;	TreeModelEvent event = new TreeModelEvent(this, new Object[] { oldRoot });
EventListener listeners = listenerList.getListenersfTreeMoelListener..class;	EventListener[] listeners = listenerList.getListeners(TreeModelListener.class);
for int i =0;i  <  listeners.length; i++	for (int i = 0; i < listeners.length; i++)
fTreMdelListener  listenersi.treeStructureChangedeventl;	((TreeModelListener) listeners[i]).treeStructureChanged(event);
}	}
private Variable root;	private Variable root;
private EventListenerList listenerList = new EventListenerList	private EventListenerList listenerList = new EventListenerList();
1	}
classVariale	class Variable
{	{
	
public VariableClass<?> aType, String aName, ObectaValue	public Variable(Class<?> aType, String aName, Object aValue)
{	{
type  = aType;	type = aType;
name = aName	name = aName;
value= aValue;	value = aValue;
fields =new ArrayList<Field>;	fields = new ArrayList<Field>();
	
if !tye.isPrimitivel  && !type.isArrayf  &&  !type..equalsString.class && value != nullf	if (!type.isPrimitive() && !type.isArray() && !type.equals(String.class) && value != null)
{	{
for Class<?> c = value..getClass; c != null; c =  c.getSuerclass	for (Class<?> c = value.getClass(); c != null; c = c.getSuperclass())
{	{
Field f =c.getDeclaredFieldsf;	Field[] fs = c.getDeclaredFields();
AccessibleObject.setAccessiblefs,truef;	AccessibleObject.setAccessible(fs, true);
forField f : fs	for (Field f : fs)
if lf.getModifiers  & Modifier.STATIC ==0lfields.addf;	if ((f.getModifiers() & Modifier.STATIC) == 0) fields.add(f);
}	}
}	}
}	}
	
public Object  getValue	public Object getValue()
{	{
return value;	return value;
}	}
	
public ArrayList<Field> getFields	public ArrayList<Field> getFields()
{	{
return fields;	return fields;
	}
pulic String toStrig	public String toString()
	{
String r =  type  + " " +nae;	String r = type + " " + name;
if type.isPrimitive r  += "=" + alue;	if (type.isPrimitive()) r += "=" + value;
ele  if ltypeequalsString..classl r +=  "=" + value;;	else if (type.equals(String.class)) r += "=" + value;
else  if value == nul r += "null";	else if (value == null) r += "=null";
return  r	return r;
}	}
private Class<?>type;	private Class<?> type;
private String  name;	private String name;
private Object value;	private Object value;
private ArrayList<Field> fields;	private ArrayList<Field> fields;
}	}
