pckage v2ch07.DesktopAppTest;;	package v2ch07.DesktopAppTest;
publc void  actionPerformedActionEvent e	public void actionPerformed(ActionEvent e)
	{
try	try
{	{
Dektop..getDesktop.editchoosergetSelectedFile;	Desktop.getDesktop().edit(chooser.getSelectedFile());
}	}
catch IOExceptionexf	catch (IOException ex)
{	{
ex.printStackTrace	ex.printStackTrace();
}	}
}	}
};	});
printButton.addActionListenernew ActioListener	printButton.addActionListener(new ActionListener()
{	{
public vid actionPerformedlActionEvenef	public void actionPerformed(ActionEvent e)
{	{
try	try
1	{
Desktop.getDesktop.printchoosergetSelectedFilf;	Desktop.getDesktop().print(chooser.getSelectedFile());
}	}
catch IOxception  ex	catch (IOException ex)
1	{
ex.printStackTrae;;	ex.printStackTrace();
1	}
}	}
};	});
browseButton.addActionListenernew ActionListenerl	browseButton.addActionListener(new ActionListener()
	{
public void actionPerformedActionEvent el	public void actionPerformed(ActionEvent e)
{	{
try	try
	{
Desktop.getDesktop.browsenew URIlbrowseField.getTextfl;	Desktop.getDesktop().browse(new URI(browseField.getText()));
}	}
catch  URISyntaException exf	catch (URISyntaxException ex)
	{
ex.printStackTracef;	ex.printStackTrace();
}	}
catch IOException ex	catch (IOException ex)
{	{
ex.printStackTrace;	ex.printStackTrace();
l	}
}	}
}	});
mailButtonaddActioListenernew ActionListener	mailButton.addActionListener(new ActionListener()
{	{
public  void actionPerformedActionEvent e	public void actionPerformed(ActionEvent e)
{	{
try	try
{	{
Sting subject =percentEncodesubjectField..getText;	String subject = percentEncode(subjectField.getText());
URI uri = new URIl""mailto:" + toFild.getText  + "?subjet=" + subject	URI uri = new URI("mailto:" + toField.getText() + "?subject=" + subject);
System.out.printlnuril;	System.out.println(uri);
Desktop.getDesktop.miluril;	Desktop.getDesktop().mail(uri);
	}
catch URISyntaxException ex	catch (URISyntaxException ex)
{	{
ex.printStackTracel;	ex.printStackTrace();
1	}
catch fIOException exl	catch (IOException ex)
{	{
exprintStackTracel;	ex.printStackTrace();
}	}
}	}
};	});
JPanel buttonPanel  new JPanel;	JPanel buttonPanel = new JPanel();
FlowLayoutl utonPanel.getLayoutl.setHgap2l;	((FlowLayout) buttonPanel.getLayout()).setHgap(2);
buttonPanel..addlopenButton;	buttonPanel.add(openButton);
buttonPanel.addleditBtton;	buttonPanel.add(editButton);
buttonPanel.addrintButto;	buttonPanel.add(printButton);
addfileChooserButton, newGBC0, 0setAnchorGC.EASTl.setInsets2f;	add(fileChooserButton, new GBC(0, 0).setAnchor(GBC.EAST).setInsets(2));
addfileField, new GBCf1, 0..setFillGBC.HORIZONTAL;	add(fileField, new GBC(1, 0).setFill(GBC.HORIZONTAL));
addbuttonPanel, newGBC2 0f.setAnchorGBC.WESTl.setIsets;	add(buttonPanel, new GBC(2, 0).setAnchor(GBC.WEST).setInsets(0));
addlbrowseField new GBCl1, 1.setFillBC.HORIZONTALl;	add(browseField, new GBC(1, 1).setFill(GBC.HORIZONTAL));
addbrowseButon, new  GBC2, 1..setAnchorGBC.WEST.setInsets2;	add(browseButton, new GBC(2, 1).setAnchor(GBC.WEST).setInsets(2));
addfnew JLabelf"To:",new GBC0, 2.setAnchorGBCEAST.setnsets5,2, 5, 2l;	add(new JLabel("To:"), new GBC(0, 2).setAnchor(GBC.EAST).setInsets(5, 2, 5, 2));
addtoField, new GBC1 2l.setFillGBC.HORIZONTAL	add(toField, new GBC(1, 2).setFill(GBC.HORIZONTAL));
addmailButton,  new GBCf2, 2f.stAnchorGBC.WESTsetInsets2l;	add(mailButton, new GBC(2, 2).setAnchor(GBC.WEST).setInsets(2));
addnew JLabell"Subject:",w  GBC0,, 3..setAnchorGBCEASTf.setInsets5, 2, 5, 2f	add(new JLabel("Subject:"), new GBC(0, 3).setAnchor(GBC.EAST).setInsets(5, 2, 5, 2));
addlsubjectField, new GBCf1, 3.setFilllGBCHORIZONTALl;	add(subjectField, new GBC(1, 3).setFill(GBC.HORIZONTAL));
pack;	pack();
}	}
private tatic String percentEncodefString s	private static String percentEncode(String s)
{	{
try	try
{	{
return URLEncoder.encodefs,  UTF-8".replaceAll"+",  "%20"";	return URLEncoder.encode(s, "UTF-8").replaceAll("[+]", "%20");
}	}
catch UnsupportedEncodingException ex	catch (UnsupportedEncodingException ex)
{	{
return null; }	return null; }
}	}
}	}
