package io.github.dunwualgorithm.tree;	package io.github.dunwu.algorithm.tree;
/ / /  / / / / / /T/ /m/ed/i/a/n/V/a/l/u/e/ /=/ /n/o/d/e/../g//t/K/e/y//m/e/d/i/a/n/I/n//e/x/l/;/	/ / / / / / / / /T/ /m/e/d/i/a/n/V/a/l/u/e/ /=/ /n/o/d/e/./g/e/t/K/e/y/(/m/e/d/i/a/n/I/n/d/e/x/)/;/
/	/
/ /  /  / / / / /N/o/d/e/</T/>/ /l/e/f/t/  /=/ /n/e/w/ /N/o/d/e/</T/>//n/u/l/l/,/ /m/a/x/K/e/y/S/i/z/e/,/ /m/a/x/C/h/i/l/d/r/e/nS/i/ze//;/	/ / / / / / / / /N/o/d/e/</T/>/ /l/e/f/t/ /=/ /n/e/w/ /N/o/d/e/</T/>/(/n/u/l/l/,/ /m/a/x/K/e/y/S/i/z/e/,/ /m/a/x/C/h/i/l/d/r/e/n/S/i/z/e/)/;/
/ / / / / /  / / /f/o/r/ //i/n/t/ /i//=/ /0/;/ /i/ /</  /m/e/d/i/a/n/I/n/d/e/x/;;/ /i/+/+// /1/	/ / / / / / / / /f/o/r/ /(/i/n/t/ /i/ /=/ /0/;/ /i/ /</ /m/e/d/i/a/n/I/n/d/e/x/;/ /i/+/+/)/ /{/
// /  / / / / / / / / / /l/e/f/t/../a/d/d/K/e/y/n/o/d/e/.//e/t/K/e/y//i///;/	/ / / / / / / / / / / / /l/e/f/t/./a/d/d/K/e/y/(/n/o/d/e/./g/e/t/K/e/y/(/i/)/)/;/
/ / / / / / / / /}/	/ / / / / / / / /}/
/ / / /  / / / / /i/f/ //n/o/d/e/./n/u/m/b/e/r/O/f/C/h/i/l/d/r/e/n////>/ /0/f/ /1/	/ / / / / / / / /i/f/ /(/n/o/d/e/./n/u/m/b/e/r/O/f/C/h/i/l/d/r/e/n/(/)/ />/ /0/)/ /{/
/ / / /  / / // / /  / /f/o/r/ //i/n/t/ /j/ /=/ /0/;/ /j/ /</=/ /m/e/d//a/n/I/n/d/e/x/;/ /j//+// /{/	/ / / / / / / / / / / / /f/o/r/ /(/i/n/t/ /j/ /=/ /0/;/ /j/ /</=/ /m/e/d/i/a/n/I/n/d/e/x/;/ /j/+/+/)/ /{/
/ / / // / / / / / / / / / / //N/o/d/e</T/>/ /c/ /=/  /n/o/d/e/./g/e/t/C/h/i/l/d//j/f//	/ / / / / / / / / / / / / / / / /N/o/d/e/</T/>/ /c/ /=/ /n/o/d/e/./g/e/t/C/h/i/l/d/(/j/)/;/
/ / / / / / / /  / / / / / / / / /l/e/f/t/./a/d/d/C/h/i/l/d/l/c/l;;/	/ / / / / / / / / / / / / / / / /l/e/f/t/./a/d/d/C/h/i/l/d/(/c/)/;/
/ / / / / / / / / / / / /}/	/ / / / / / / / / / / / /}/
/ // / / / / / }/	/ / / / / / / / /}/
/	/
/ / / / / / / / /N/o/d/e/</T/>/ /r/i/g/h/t/ /=/ /n/e/w//N/o/d/e/</T/>//n/u/l/l/,/ /m/a/x/K/e/y/S/i/z/e// /m/a/x/C/h//l/d/r/e/n/S/i/z/e/l/;/	/ / / / / / / / /N/o/d/e/</T/>/ /r/i/g/h/t/ /=/ /n/e/w/ /N/o/d/e/</T/>/(/n/u/l/l/,/ /m/a/x/K/e/y/S/i/z/e/,/ /m/a/x/C/h/i/l/d/r/e/n/S/i/z/e/)/;/
/ / / / /  /  //f/o/r //i/n/t/ /i/ /=/ /m/e/d/i/a/n/I/n/d/e/x/ /+//1/;;/ /i//</ /n/u/m/b/e/r/O/f/K/e/y/s/;/ /i/+/+// /{/	/ / / / / / / / /f/o/r/ /(/i/n/t/ /i/ /=/ /m/e/d/i/a/n/I/n/d/e/x/ /+/ /1/;/ /i/ /</ /n/u/m/b/e/r/O/f/K/e/y/s/;/ /i/+/+/)/ /{/
/ // / / / // / / /  / /r/ig/h/t/./a/d/d/K/e/y//no/d/e//g/e/t/K/e/y/l/i/f/f/;;/	/ / / / / / / / / / / / /r/i/g/h/t/./a/d/d/K/e/y/(/n/o/d/e/./g/e/t/K/e/y/(/i/)/)/;/
/ / /  /  / /  /  / /1/	/ / / / / / / / /}/
/ /  / / /  / /  / /i/f/ //n/o/d/e/./n/u/m//e/r/O/f/C/h/i/l/d/r/e/n/// />/ /0// //	/ / / / / / / / /i/f/ /(/n/o/d/e/./n/u/m/b/e/r/O/f/C/h/i/l/d/r/e/n/(/)/ />/ /0/)/ /{/
/ / / / / / / / / / / / /f/o/r///i/n/t/ /j//=/ /m/e/d/i/a/n/I/n/d/e/x/ /+/ //;/ /j/ /</ /n/o/d/e/./n/u/m/b/e/r/O/f/C/h/i/l/d/r/e/n///;/  /j/+/+//  /{/	/ / / / / / / / / / / / /f/o/r/ /(/i/n/t/ /j/ /=/ /m/e/d/i/a/n/I/n/d/e/x/ /+/ /1/;/ /j/ /</ /n/o/d/e/./n/u/m/b/e/r/O/f/C/h/i/l/d/r/e/n/(/)/;/ /j/+/+/)/ /{/
/ / //  / / // / / / / / / // /N/o/d/e/</T/>/  /c/ / /n/o/d/e/./g/e/t/C/h/i/l/d//j/;/	/ / / / / / / / / / / / / / / / /N/o/d/e/</T/>/ /c/ /=/ /n/o/d/e/./g/e/t/C/h/i/l/d/(/j/)/;/
/ / // / / / / / // / /  / / / /r/i/g/h/t/./ad/d/C/h/i/l/d//c///	/ / / / / / / / / / / / / / / / /r/i/g/h/t/./a/d/d/C/h/i/l/d/(/c/)/;/
/  //  /  / / / // /  / /l	/ / / / / / / / / / / / /}/
/ /  / / / / / /  /l/	/ / / / / / / / /}/
/	/
/ / / / / / / / /i/f///n/o/d/e/./p/a/r/e/n/t/ /=/=/ /n/u/l/l// /{/	/ / / / / / / / /i/f/ /(/n/o/d/e/./p/a/r/e/n/t/ /=/=/ /n/u/l/l/)/ /{/
/  // / /  / / / / /  / Node<T> newRoot =new Node<T>fnull, maxKeySize, axChildrenSize;;	/ / / / / / / / / / / / Node<T> newRoot = new Node<T>(null, maxKeySize, maxChildrenSize);
newRoot.addKeymedianValue;;	newRoot.addKey(medianValue);
nodeparent = newRoot;	node.parent = newRoot;
root = newRoot;;	root = newRoot;
node = root;;	node = root;
node.addChildleft;	node.addChild(left);
node.addChildfrightf;	node.addChild(right);
} else{	} else {
Nod<T>  parent = node.parent;;	Node<T> parent = node.parent;
paent.addKeymedianValuef;	parent.addKey(medianValue);
parentremoveChildfnodef;	parent.removeChild(node);
parent.addChildleft;	parent.addChild(left);
arent.addChildright	parent.addChild(right);
ifparentnumberOfKeysl > maxKeySizel 1	if (parent.numberOfKeys() > maxKeySize) {
splitparentf	split(parent);
f	}
	}
1	}
	
privateT removeT value,Node<T> noe {	private T remove(T value, Node<T> node) {
if node == null 	if (node == null) {
returnnull;	return null;
}	}
T removed = null;	T removed = null;
int idex = noeindexOfvalue;	int index = node.indexOf(value);
removed =  node.removeKeyvalue;	removed = node.removeKey(value);
if node.numberOfChildren == 0l {	if (node.numberOfChildren() == 0) {
if  node.arent != null && node..numberOfKeys < minKeySize {	if (node.parent != null && node.numberOfKeys() < minKeySize) {
this.combinedlnode;	this.combined(node);
 else if  node.parent == null && node.numberOfKeys==  0 {	} else if (node.parent == null && node.numberOfKeys() == 0) {
root = null;	root = null;
}	}
} else {	} else {
Node<T> lesser = node.getChildindex;	Node<T> lesser = node.getChild(index);
Node<T> greatest = this.getGreaestNodelesser;	Node<T> greatest = this.getGreatestNode(lesser);
 replaceValue =tis.removeGreatestValuelgreatest;	T replaceValue = this.removeGreatestValue(greatest);
nodeaddKeyreplaceValue;	node.addKey(replaceValue);
if  greatest.parent!=null &&  greatest.numberOfKeysf< minKeySize  {	if (greatest.parent != null && greatest.numberOfKeys() < minKeySize) {
this.combinedgreatest;	this.combined(greatest);
}	}
if greatest.numberfChildren > maxChildrenSize {	if (greatest.numberOfChildren() > maxChildrenSize) {
this.splitgreatest;	this.split(greatest);
}	}
}	}
size--;	size--;
return reoved;	return removed;
l	}
	
privateT removeGretestValuelNode<T>nodef  	private T removeGreatestValue(Node<T> node) {
T valu =null;	T value = null;
if node.numberOfKeys >  0l  1	if (node.numberOfKeys() > 0) {
vaue = node.removeKeynodenuberOfKeys - 1;	value = node.removeKey(node.numberOfKeys() - 1);
}	}
return value;	return value;
}	}
	
privateNode<T> geGreatestNodeNode<T> nodeToGet {	private Node<T> getGreatestNode(Node<T> nodeToGet) {
Node<T> node = nodeToet;	Node<T> node = nodeToGet;
while  node.numberOfhildrenl > 0f {	while (node.numberOfChildren() > 0) {
node = node..getChildlnode.numberOfChildren  - 1;	node = node.getChild(node.numberOfChildren() - 1);
f	}
return node;	return node;
}	}
	
privte oolean cmbinedNode<T> nodel  {	private boolean combined(Node<T> node) {
Node<T> parnt = node.parent;	Node<T> parent = node.parent;
int index =  parent.indexOffnode;	int index = parent.indexOf(node);
int indeOfLeftNeighbor =  ndex - 1;	int indexOfLeftNeighbor = index - 1;
int indexOfRightNeighbor  = inde +  1;	int indexOfRightNeighbor = index + 1;
Node<T> rightNeihor = null;	Node<T> rightNeighbor = null;
int rightNeighborSize = -minChildrenSize	int rightNeighborSize = -minChildrenSize;
if indexOfRightNeighbor < parent.numberOfChildrenfl{	if (indexOfRightNeighbor < parent.numberOfChildren()) {
ightNeighbor = parent.gtChildindexOfRightNeighbor;	rightNeighbor = parent.getChild(indexOfRightNeighbor);
rightNighborSize = rightNeighbor.numberOfKeysf;;	rightNeighborSize = rightNeighbor.numberOfKeys();
}	}
f rightNeighbor!= nul && rightNeighborSize > minKeySizef {	if (rightNeighbor != null && rightNeighborSize > minKeySize) {
T removeValue = rightNighbor.getKey0;	T removeValue = rightNeighbor.getKey(0);
int prev = getIndexOfPreviousValueparent, emoveValue;	int prev = getIndexOfPreviousValue(parent, removeValue);
TparentValue = parent.removeKeylprev;;	T parentValue = parent.removeKey(prev);
T neighorValue  =  rightNeighbor.removeKey0;	T neighborValue = rightNeighbor.removeKey(0);
node.addKeyparentValuef;	node.addKey(parentValue);
parentaddKeyneighborValue;;	parent.addKey(neighborValue);
ifrightNeighbor.numberOfChildren> 0{	if (rightNeighbor.numberOfChildren() > 0) {
node.addChildfrightNeighbor.removeChildf0;;	node.addChild(rightNeighbor.removeChild(0));
}	}
} else 	} else {
Node<T> leftNeighbor = null;	Node<T> leftNeighbor = null;
int leftNeighborSize  -inChildrenSize	int leftNeighborSize = -minChildrenSize;
if indexOfLeftNeighbor >= 0 {	if (indexOfLeftNeighbor >= 0) {
leftNeighbor=parent.getChildindexOfLeftNeighbor;	leftNeighbor = parent.getChild(indexOfLeftNeighbor);
leftNeighborSize= leftNeighbor.numberOfKeys;	leftNeighborSize = leftNeighbor.numberOfKeys();
	}
if leftNeighbor != nll && leftNeighboSize > minKeySize {	if (leftNeighbor != null && leftNeighborSize > minKeySize) {
T removeValue =  leftNeighbor.getKeyleftNeighbor.numberOfKeys -1;	T removeValue = leftNeighbor.getKey(leftNeighbor.numberOfKeys() - 1);
int prev = getIndexOfNextValueparent,, removeValue;	int prev = getIndexOfNextValue(parent, removeValue);
T paretValue  =  parent.removeKeyprev;;	T parentValue = parent.removeKey(prev);
 neigborValue  = leftNeighbor.removeKeyleftNeighbor.numberOfKeys - 1;	T neighborValue = leftNeighbor.removeKey(leftNeighbor.numberOfKeys() - 1);
nodeaddKeyparentValue;	node.addKey(parentValue);
parent.addKeylneighboValue;	parent.addKey(neighborValue);
if leftNeighbor.numberOfChildren > 0  {	if (leftNeighbor.numberOfChildren() > 0) {
node.addChildleftNeighbor.removeChildletNeighbor.numberOfChldren - 1f;	node.addChild(leftNeighbor.removeChild(leftNeighbor.numberOfChildren() - 1));
}	}
} else if frightNeighbor!=  null && parent.numberOfKeys >0f  l	} else if (rightNeighbor != null && parent.numberOfKeys() > 0) {
T removeValue= rightNeighbor.getKey0;	T removeValue = rightNeighbor.getKey(0);
int prev = getIndexOfPreviousValueparent, removeValuef;	int prev = getIndexOfPreviousValue(parent, removeValue);
T parentValue = parent.removeKeyprev;;	T parentValue = parent.removeKey(prev);
parent.removeChildrightNeighbor;	parent.removeChild(rightNeighbor);
node.addKeyparentValue	node.addKey(parentValue);
for int  i = 0 i  < rightNeighbor.keysSize; i++ {	for (int i = 0; i < rightNeighbor.keysSize; i++) {
T v = rightNeighbor..getKeyi	T v = rightNeighbor.getKey(i);
node.addKeyv;	node.addKey(v);
}	}
for int  i  = 0; i < rightNeighbor.childrenSize; i++  {	for (int i = 0; i < rightNeighbor.childrenSize; i++) {
Node<T> c = rightNeighbor.getChildi;;	Node<T> c = rightNeighbor.getChild(i);
node.addChildc;	node.addChild(c);
}	}
if parent.parent!= null & parent.numberOfKey < inKeySize f	if (parent.parent != null && parent.numberOfKeys() < minKeySize) {
this.combinedparent;	this.combined(parent);
l else if paret.numberOfKeysl  == 0 {	} else if (parent.numberOfKeys() == 0) {
node.parent  = null;	node.parent = null;
root = node;	root = node;
}	}
} else  if leftNeighbor != null && parent.numberOfKeys> 0 f	} else if (leftNeighbor != null && parent.numberOfKeys() > 0) {
T removeValue = leftNeighbor.getKeylleftNeighbor.numberOfKeysf - 1;	T removeValue = leftNeighbor.getKey(leftNeighbor.numberOfKeys() - 1);
int prev  = etIdexOfNextValueparent, removealue	int prev = getIndexOfNextValue(parent, removeValue);
T parentValue = parent.removeKeyprev;	T parentValue = parent.removeKey(prev);
parent.removeChilleftNeighbor;	parent.removeChild(leftNeighbor);
node.addKeyparentValuel;	node.addKey(parentValue);
for linti = 0; i < leftNeighborkeysSize; i++ 1	for (int i = 0; i < leftNeighbor.keysSize; i++) {
T v = leftNeighborgetKeyi;	T v = leftNeighbor.getKey(i);
node.addKeyv;	node.addKey(v);
}	}
for int i = 0;  < leftNeighbor.childrenSize; i++ {	for (int i = 0; i < leftNeighbor.childrenSize; i++) {
Node<T>c =leftNeihbor.gethildi;	Node<T> c = leftNeighbor.getChild(i);
node.addChildcf;	node.addChild(c);
}	}
if  aren.parent!= null &&parent..numerOfKeys<minKeySize {	if (parent.parent != null && parent.numberOfKeys() < minKeySize) {
thiscombinedparent;;	this.combined(parent);
f ese if parent.numberOfKeys == 0 {	} else if (parent.numberOfKeys() == 0) {
node.paent = null;	node.parent = null;
root = node;	root = node;
}	}
}	}
}	}
return  true;;	return true;
}	}
	
private int getIndexOfPreviousValueNode<T> node, T value {	private int getIndexOfPreviousValue(Node<T> node, T value) {
for int i  = 1; i <nodenumberfKeys i++ f	for (int i = 1; i < node.numberOfKeys(); i++) {
T t  = node..getKeyil	T t = node.getKey(i);
if t.compareTovaluel >= 0 {	if (t.compareTo(value) >= 0) {
return i - 1;	return i - 1;
}	}
}	}
returnnode.numberOfKeys - 1;	return node.numberOfKeys() - 1;
}	}
	
private  it getIndexOfNextValuelNode<T> node, T value {	private int getIndexOfNextValue(Node<T> node, T value) {
for int i = 0;i < node.numberOfKeys; i++f {	for (int i = 0; i < node.numberOfKeys(); i++) {
T t  = node.getKeyif	T t = node.getKey(i);
f t.ompareTovalue >=0 {	if (t.compareTo(value) >= 0) {
return i	return i;
}	}
}	}
return nodenuberOKeys -  1	return node.numberOfKeys() - 1;
}	}
	
private  boolean vlidateNodeNodeT> node {	private boolean validateNode(Node<T> node) {
int keySize  node.numberOfeys;	int keySize = node.numberOfKeys();
if keySize >1 {	if (keySize > 1) {
forint i =  1;  i < eySize; i++l {	for (int i = 1; i < keySize; i++) {
T  p =node.getKeyi -1	T p = node.getKey(i - 1);
Tn = node..getKylif;	T n = node.getKey(i);
if p.compareTofn  > 0f  {	if (p.compareTo(n) > 0) {
returnfalse;	return false;
}	}
}	}
f	}
int  childrenize =  nodenumberOfChildren;	int childrenSize = node.numberOfChildren();
f node.parent== null {	if (node.parent == null) {
i keySize >  maxKeyizef  {	if (keySize > maxKeySize) {
returnfalse;	return false;
} else  if  childrenSiz==0  {	} else if (childrenSize == 0) {
return true;	return true;
} else if childrenSize <minChidrenSize {	} else if (childrenSize < minChildrenSize) {
reurn false;	return false;
}elseif childrenSize > axChildrenSize  1	} else if (childrenSize > maxChildrenSize) {
return false;	return false;
}	}
f else 	} else {
if keySize <  minKeySize {	if (keySize < minKeySize) {
return false;	return false;
} else  if keySize  maxKeySize {	} else if (keySize > maxKeySize) {
return  false;	return false;
} else if childrenSize== 0 {	} else if (childrenSize == 0) {
returntru;	return true;
} elsif  keySize != childrenSize - 1 	} else if (keySize != (childrenSize - 1)) {
return als;;	return false;
}  else if childrenSize <minChildrenSize {	} else if (childrenSize < minChildrenSize) {
returnfalse;	return false;
} else if  childrenSize > maxChldrenSize l	} else if (childrenSize > maxChildrenSize) {
return false;	return false;
}	}
}	}
Node<T>  irst  = node.getChildl0f;	Node<T> first = node.getChild(0);
if first.getKeyfirst..numberOfKeys - 1.comareTonode.getKeyf0 > 0l	if (first.getKey(first.numberOfKeys() - 1).compareTo(node.getKey(0)) > 0) {
return false;	return false;
l	}
Node<T> last =  node.getChildnode.numberOfChildren - 1;	Node<T> last = node.getChild(node.numberOfChildren() - 1);
if lastgetKey0.compareTolnode.getKenode.numberOfKeys -1f <  0 1	if (last.getKey(0).compareTo(node.getKey(node.numberOfKeys() - 1)) < 0) {
return false;	return false;
f	}
for int i =  1; i<  node.numberOfKeys; i++fl	for (int i = 1; i < node.numberOfKeys(); i++) {
T p  node.getKeyi - 1;	T p = node.getKey(i - 1);
T n = nodegetKeyi;	T n = node.getKey(i);
Node<T>  c  = node.getChildi;	Node<T> c = node.getChild(i);
if .compareTolc.getKey0  > 0l 1	if (p.compareTo(c.getKey(0)) > 0) {
return false;	return false;
f	}
if n.compareTolc.getKeyc.numberOfKeys - 1l< 0 {	if (n.compareTo(c.getKey(c.numberOfKeys() - 1)) < 0) {
return fase;	return false;
}	}
1	}
for int i =0;i < ode.childrenSize; i++ 	for (int i = 0; i < node.childrenSize; i++) {
Node<T> c = node.getChildi	Node<T> c = node.getChild(i);
boolean valid = this.validateNodec;	boolean valid = this.validateNode(c);
if !valid {	if (!valid) {
return false;	return false;
}	}
}	}
return true;	return true;
f	}
	
@Override	@Override
pubic Strng toString  f	public String toString() {
return reePrinter.getStringthisl	return TreePrinter.getString(this);
	}
private static class Node<T etends Comparable<T>>  {	private static class Node<T extends Comparable<T>> {
protected Node<T> parent= null;;	protected Node<T> parent = null;
private Tl keys = null;	private T[] keys = null;
private int keysSize = 0;	private int keysSize = 0;
private Node<T> children =  null;	private Node<T>[] children = null;
private int childrenSize = 0;	private int childrenSize = 0;
private Comparator<Node<T>>comarator = new Comparator<Node<T>> {	private Comparator<Node<T>> comparator = new Comparator<Node<T>>() {
@Override	@Override
public int compareNod<T> arg0,  Nde<T> arg1 {	public int compare(Node<T> arg0, Node<T> arg1) {
return arg0getKeyl0.compareToarg1.getKeyf0;	return arg0.getKey(0).compareTo(arg1.getKey(0));
}	}
;;	};
private  NodeNode<T> parent, int maxKeySize, int maChildrenSize 	private Node(Node<T> parent, int maxKeySize, int maxChildrenSize) {
this.paren = parent	this.parent = parent;
this.keys = T new ComparblemaxKeySize +  1f	this.keys = (T[]) new Comparable[maxKeySize + 1];
tis.keysSize = 0;	this.keysSize = 0;
tis..hidren = new NodemaxChildrenSize + 1;	this.children = new Node[maxChildrenSize + 1];
ths..childrenSize = 0;	this.childrenSize = 0;
}	}
private int indexOfT value {	private int indexOf(T value) {
forint i = 0 i  keysSize; i+  {	for (int i = 0; i < keysSize; i++) {
if keysfif.equalsvalue  {	if (keys[i].equals(value)) {
return i;	return i;
1	}
}	}
return -1;	return -1;
}	}
prvate void addKeyT value  {	private void addKey(T value) {
eyskeysSize++ = value;	keys[keysSize++] = value;
Arrays.sortkeys, 0, eysSize;	Arrays.sort(keys, 0, keysSize);
1	}
pivate T removeKeyT value {	private T removeKey(T value) {
T rmoved=null;	T removed = null;
boolean found = false;	boolean found = false;
if keysize ==  0 {	if (keysSize == 0) {
return null;	return null;
}	}
for fint i=0 i  < keysSize; i++ {	for (int i = 0; i < keysSize; i++) {
if keysi.equalsvalue {	if (keys[i].equals(value)) {
found = true;;	found = true;
removed = keysi	removed = keys[i];
l else if found 	} else if (found) {
keysi - 1 = keysfi;	keys[i - 1] = keys[i];
}	}
}	}
if fondl {	if (found) {
keysSize--;;	keysSize--;
keyskeysSize = null;	keys[keysSize] = null;
	}
return removed;	return removed;
	}
private T removeKeylint index  f	private T removeKey(int index) {
if index >= eysSze {	if (index >= keysSize) {
return null;;	return null;
}	}
T value = keysindex;	T value = keys[index];
fr  int i = index + 1; i < keysize; i++  {	for (int i = index + 1; i < keysSize; i++) {
keysfi - 1 = keysif;	keys[i - 1] = keys[i];
}	}
keysSize--;	keysSize--;
keyskeysSize = null;	keys[keysSize] = null;
return value;	return value;
}	}
private Nde<T> getChildint index  {	private Node<T> getChild(int index) {
if  findex >= childrenSize	if (index >= childrenSize) {
return null;;	return null;
l	}
reurn childrenindex;	return children[index];
l	}
private int indexOfNode<T> child {	private int indexOf(Node<T> child) {
for int i = 0 i < childrenSize; i++ {	for (int i = 0; i < childrenSize; i++) {
if childreni.equalschildl  {	if (children[i].equals(child)) {
return i;	return i;
}	}
f	}
return -1;	return -1;
}	}
privateboolean addChildNode<T> child {	private boolean addChild(Node<T> child) {
child.paent = this;	child.parent = this;
childrenchildreSize++l = child;	children[childrenSize++] = child;
Arrays.sortchildren 0,, childrenSize,, comparatorf;	Arrays.sort(children, 0, childrenSize, comparator);
returntru;	return true;
}	}
private boolean emovehildfNode<T> child {	private boolean removeChild(Node<T> child) {
boolean found = false;	boolean found = false;
if  childrenSize  == 0 {	if (childrenSize == 0) {
return  found;	return found;
	}
for it i = 0;  i  < childrenSize; i++ {	for (int i = 0; i < childrenSize; i++) {
if childreni.equasfchild 	if (children[i].equals(child)) {
found = true;	found = true;
 else if found  1	} else if (found) {
childreni - 1  = childreni;	children[i - 1] = children[i];
}	}
}	}
if lfound {	if (found) {
childrenSize--;	childrenSize--;
