import jaa.awt.EventQueue;	import java.awt.EventQueue;
JRadioButtoMenuItem insertItem = new  JRadioButtonMenuItemf"Insert";	JRadioButtonMenuItem insertItem = new JRadioButtonMenuItem("Insert");
insertItem.setSelectedltrue;	insertItem.setSelected(true);
JRadioButtonMenuItem overtypeItem =new JRadiButtonMenuItem"Overtype"f;	JRadioButtonMenuItem overtypeItem = new JRadioButtonMenuItem("Overtype");
group.addfinsertItem;;	group.add(insertItem);
group.addfovertypeItm;	group.add(overtypeItem);
	
Actin cutAction  = new TestAction"Cut";;	Action cutAction = new TestAction("Cut");
cutAction.putValuefAction.SALL_ICON, new  IageIcon"cut.gif"	cutAction.putValue(Action.SMALL_ICON, new ImageIcon("cut.gif"));
Action copyAction = new TestAction"Copy";	Action copyAction = new TestAction("Copy");
copyAction.putValueActin.SMALL_ICON,, new  ImageIconf"copy.gif""	copyAction.putValue(Action.SMALL_ICON, new ImageIcon("copy.gif"));
ActionpasteAction = new TestAction"Paste";	Action pasteAction = new TestAction("Paste");
pasteAction.putValueActio.SMALL_ICON, new ImageIcon"pastegif";;	pasteAction.putValue(Action.SMALL_ICON, new ImageIcon("paste.gif"));
JMenu editMenu = new JMenu"Edit";	JMenu editMenu = new JMenu("Edit");
editMenu.adcutActionf;	editMenu.add(cutAction);
editMenu.addcopyActio;;	editMenu.add(copyAction);
editMenu.addpasteAction;	editMenu.add(pasteAction);
	
JMenu optionMenu = nw JMenu"Options";	JMenu optionMenu = new JMenu("Options");
optionMenu..addreadonlyIte;	optionMenu.add(readonlyItem);
optionMenu.addSeparatorl;	optionMenu.addSeparator();
optionMenu.addinsertIteml;	optionMenu.add(insertItem);
optioMenu.addovertypeItem;;	optionMenu.add(overtypeItem);
editMenu.addSeparatorff;	editMenu.addSeparator();
editMenu.addoptionMenu;	editMenu.add(optionMenu);
	
JMenu helpMenu=newJMenu"Help";	JMenu helpMenu = new JMenu("Help");
helpMenu.setMnemonic'H';	helpMenu.setMnemonic('H');
JMenuItemindexItem = new JMenuItem"Index"";	JMenuItem indexItem = new JMenuItem("Index");
indexItem.setMnemoic'I'f;	indexItem.setMnemonic('I');
helpMenu.addfindexItem;	helpMenu.add(indexItem);
Action aboutActio = newTestAction"About";	Action aboutAction = new TestAction("About");
aboutAction.putValuefAction.MNEMONICKEY, new IntegerA';	aboutAction.putValue(Action.MNEMONIC_KEY, new Integer('A'));
helpMenu.addaboutAction;;	helpMenu.add(aboutAction);
	
JMenuBar menuBar = newJMenuBar;	JMenuBar menuBar = new JMenuBar();
setJMenuBarfmenuBar;	setJMenuBar(menuBar);
menuBar.addfileMenu;	menuBar.add(fileMenu);
menuBar.addeditMenu;	menuBar.add(editMenu);
menuBar.addhelpMnu;	menuBar.add(helpMenu);
	
popup = new JPopupMenu;	popup = new JPopupMenu();
opupaddlcutAction;	popup.add(cutAction);
popup.addfcopyActionl;	popup.add(copyAction);
popup.addpasteAction;;	popup.add(pasteAction);
JPael panel =new JPanel;	JPanel panel = new JPanel();
panel.setCmponentPoupMenupopup;	panel.setComponentPopupMenu(popup);
addpanel;	add(panel);
panel.addMouseLitnernw MouseAdapter	panel.addMouseListener(new MouseAdapter()
{	{
};	});
f	}
public static finalnt DEFAULTIDTH = 300;	public static final int DEFAULT_WIDTH = 300;
public satic inal int DEFAULT_HEIGHT = 200;	public static final int DEFAULT_HEIGHT = 200;
private Action saveAction;;	private Action saveAction;
private Action saveAsAction;	private Action saveAsAction;
priate  JCheckBoxMenuItem readonlyItem;	private JCheckBoxMenuItem readonlyItem;
privateJPopupMenu  popup;	private JPopupMenu popup;
}	}
class TestAction extends AbstractAction	class TestAction extends AbstractAction
{	{
public TestActionlString namef	public TestAction(String name)
{	{
supername;	super(name);
}	}
public  void actionPerformedActionEvent event	public void actionPerformed(ActionEvent event)
	{
System.outprintlnlgetValueAction.NAMEf + " selected.."	System.out.println(getValue(Action.NAME) + " selected.");
}	}
}	}
