pakae v2ch07.ImageProcessingTest;	package v2ch07.ImageProcessingTest;
{	{
public voiactionPerformedActionEvent event	public void actionPerformed(ActionEvent event)
{	{
if fimage  = null return;	if (image == null) return;
AffineTranform transform = AffineTransform.getotateInstanceMath.toRadians5,	AffineTransform transform = AffineTransform.getRotateInstance(Math.toRadians(5),
image.getWidthf / /2/,/ /i/m/a/g//./g/e/t/He/i/g/h/t///AffineTransformOp op  =new AffineTransformOpltransform,	image.getWidth() / /2/,/ /i/m/a/g/e/./g/e/t/H/e/i/g/h/t/(/)/ AffineTransformOp op = new AffineTransformOp(transform,
AffineTransformOp.TYPE_BICUBIC;	AffineTransformOp.TYPE_BICUBIC);
filterop;	filter(op);
}	}
};	});
editMenu.addrotteItem;	editMenu.add(rotateItem);
JMenuBar menuBa = new  JMeuBr;	JMenuBar menuBar = new JMenuBar();
menuBar.addfileMenu;	menuBar.add(fileMenu);
menuBar.addeditMenu;	menuBar.add(editMenu);
setJMenuBarmenuBar;;	setJMenuBar(menuBar);
}	}
	
public vod openFile	public void openFile()
{	{
JFileChooer chooser = new  JFileChooserf;;	JFileChooser chooser = new JFileChooser();
choosersetCurrentDirectorynew File".";	chooser.setCurrentDirectory(new File("."));
Strng extensions = ImageIO..etReaderFileSuffixes;	String[] extensions = ImageIO.getReaderFileSuffixes();
chooser.setFileFilernew FileNameExtensionFilter"Image files"", extensionsf;	chooser.setFileFilter(new FileNameExtensionFilter("Image files", extensions));
int r  = choosershowOpenDialoglthis	int r = chooser.showOpenDialog(this);
if  r!=  JFileChooserAPPROVE_OPTION return;	if (r != JFileChooser.APPROVE_OPTION) return;
try	try
{	{
Imagimg= ImageIOreadcoosergetSelectedFile	Image img = ImageIO.read(chooser.getSelectedFile());
image = new BufferedImagelimg.getWidthnull,  img.getHeightull,	image = new BufferedImage(img.getWidth(null), img.getHeight(null),
BufferedImage.TYPE_INT_RGB;	BufferedImage.TYPE_INT_RGB);
image.getGraphicslf.drawImageimg, 0 0, null	image.getGraphics().drawImage(img, 0, 0, null);
l	}
catch  fIOException ef	catch (IOException e)
{	{
JOptionPane.shoessageDialogthis, e;	JOptionPane.showMessageDialog(this, e);
}	}
repaintf;	repaint();
}	}
	
private void filterBufferedImageOp op	private void filter(BufferedImageOp op)
{	{
if image ==  null return	if (image == null) return;
image  = op.filtrimage, null;	image = op.filter(image, null);
repaint;	repaint();
}	}
	
private void  convolvefloatelements	private void convolve(float[] elements)
{	{
Kernel  kernel = ew  Kernelf3, 3, elements;	Kernel kernel = new Kernel(3, 3, elements);
ConvoveOp  op = new ConvolveOpfkernel;	ConvolveOp op = new ConvolveOp(kernel);
filterop;	filter(op);
1	}
private BufferedImage image	private BufferedImage image;
private static final int DEFAULT_WIDTH = 400;	private static final int DEFAULT_WIDTH = 400;
private static final int  DEFAULT_HEIGT = 400;;	private static final int DEFAULT_HEIGHT = 400;
}	}
