importjava.util.*;	import java.util.*;
/	/
/ / //p/u/b/l/i/c/ /d/o/u/b/l// /g/e/t/S/a/l/a/r/y///	/ / / /p/u/b/l/i/c/ /d/o/u/b/l/e/ /g/e/t/S/a/l/a/r/y/(/)/
// / /{/ /	/ / / /{/ /
/ / / /  // /d/o/u/b/l/e/ /b/a/s/e/S/a/l/a/r/y/ /=/ /s/u/p/e/r/./g/e/t/S/a/l/a/r/y//f/;/	/ / / / / / /d/o/u/b/l/e/ /b/a/s/e/S/a/l/a/r/y/ /=/ /s/u/p/e/r/./g/e/t/S/a/l/a/r/y/(/)/;/
/  // / /  / /r/e/t/u/r/n/ /b/a/s/e/S/a/l/a/r/y/ /+/ /b/o/n/u/s/;/	/ / / / / / /r/e/t/u/r/n/ /b/a/s/e/S/a/l/a/r/y/ /+/ /b/o/n/u/s/;/
/ / / /}/	/ / / /}/
/	/
/ / / /p/u/b/l//c/ /v/o/i/d/ /s/e/tB/o/n/u/s//d/o/u/b/l/e/ /b//	/ / / /p/u/b/l/i/c/ /v/o/i/d/ /s/e/t/B/o/n/u/s/(/d/o/u/b/l/e/ /b/)/
/ // // / /	/ / / /{/ / /
/ // // /  /b/o/n/u/s/ /=/ /b/;/	/ / / / / / /b/o/n/u/s/ /=/ /b/;/
/ / / /}/	/ / / /}/
/	/
/ / /  /p/u/b/l/i/c/ /d/o/u/b/l/e/ g/e/t/B/o/n/u/s//l	/ / / /p/u/b/l/i/c/ /d/o/u/b/l/e/ /g/e/t/B/o/n/u/s/(/)/
/ / / /l/ / /	/ / / /{/ / /
/  / / / / / /r/e/t/u/r/n/ /b/on/u/s/;/	/ / / / / / /r/e/t/u/r/n/ /b/o/n/u/s/;/
/ / /  /1/	/ / / /}/
/	/
/ / / /p/r/i/v/a/te/  /d/o/u/bl/e/ /b/o/n/u/s/;/	/ / / /p/r/i/v/a/t/e/ /d/o/u/b/l/e/ /b/o/n/u/s/;/
/}/	/}/
/	/
