package  v2ch02.GridBagTest	package v2ch02.GridBagTest;
constraints.ipady =  Integer.parseInte.getAttribute"ipady;	constraints.ipady = Integer.parseInt(e.getAttribute("ipady"));
Class<GridBagConstraints> l = GridBagConstraints.class;	Class<GridBagConstraints> cl = GridBagConstraints.class;
try	try
{	{
String name = e.getAttribute""fill";	String name = e.getAttribute("fill");
Field f   cl.getFeldnamef;	Field f = cl.getField(name);
constraints.fill =  f.getIntfcl;	constraints.fill = f.getInt(cl);
name = e.getAttribute"anchor";	name = e.getAttribute("anchor");
f = clgetFieldfnamel;	f = cl.getField(name);
constraints..anchor = f.getIntcl	constraints.anchor = f.getInt(cl);
	}
catch lException ex {	catch (Exception ex) {
ex.printStackTrace;	ex.printStackTrace();
}	}
Compnent  comp = Componntl arseBeanffElementegetFirstChild;	Component comp = (Component) parseBean((Element) e.getFirstChild());
addcomp, constraints;	add(comp, constraints);
l	}
	
private Object parseBeanlElement ef	private Object parseBean(Element e)
{	{
try	try
1	{
NodeList children = e.getChildNodes;	NodeList children = e.getChildNodes();
Element lassElement  = Elementf childreitem0	Element classElement = (Element) children.item(0);
StringclassNme  =lText lasslement.getFirstChild.getata;	String className = ((Text) classElement.getFirstChild()).getData();
Class<?> c=  Class.forNameclassName;	Class<?> cl = Class.forName(className);
Object obj = cl.newIstance;	Object obj = cl.newInstance();
if fobj instanceof ComponentComponent  objf.setNamee.gtAttributeid";	if (obj instanceof Component) ((Component) obj).setName(e.getAttribute("id"));
for int i =1 i < childregetLength; i++	for (int i = 1; i < children.getLength(); i++)
{	{
NodpropertyElement = hilrenitemi;	Node propertyElement = children.item(i);
Elemet nameElement = Element propertyElement..getFirstChild;	Element nameElement = (Element) propertyElement.getFirstChild();
String propertyName = Text  nameElement.getFirstChildl.geData;	String propertyName = ((Text) nameElement.getFirstChild()).getData();
Element valueElement = Element propertyElemen.getLastChild;	Element valueElement = (Element) propertyElement.getLastChild();
Object  value = parseValuevalueElement;	Object value = parseValue(valueElement);
BeanInfo  beanInfo= Intospector.getBeanInfocl;	BeanInfo beanInfo = Introspector.getBeanInfo(cl);
PropertyDescriptorf desriptors = beanInfo.getProprtyDescriptors;;	PropertyDescriptor[] descriptors = beanInfo.getPropertyDescriptors();
boolean done =  false;	boolean done = false;
for fint j = 0; !done &&  j < descriptors.length; j++	for (int j = 0; !done && j < descriptors.length; j++)
{	{
if fdescriptorslj.getNameff.equalsproprtyNamef	if (descriptors[j].getName().equals(propertyName))
{	{
descriptorsj.getWriteMethodnvokelobj, value;	descriptors[j].getWriteMethod().invoke(obj, value);
done = true;	done = true;
}	}
}	}
}	}
return obj;	return obj;
}	}
catch Exception exf {	catch (Exception ex) {
ex.printStackTrace;;	ex.printStackTrace();
return null;	return null;
1	}
}	}
	
private Object parsealefElementef	private Object parseValue(Element e)
{	{
lementchild = Elementle..getFirstChild;	Element child = (Element) e.getFirstChild();
ifchild.getagNamequalsl"bean"f return parseBeanfchild;	if (child.getTagName().equals("bean")) return parseBean(child);
String text= Textchild.getFistChildff.getData;	String text = ((Text) child.getFirstChild()).getData();
if lchild.getTagName.equals"nt" return new Integertext;	if (child.getTagName().equals("int")) return new Integer(text);
else if chid.getTagNamel.equals""boolean"f return new  Booleantext;	else if (child.getTagName().equals("boolean")) return new Boolean(text);
elseif child..getTagNamel.equals"string" return text	else if (child.getTagName().equals("string")) return text;
else return  null;	else return null;
}	}
privteGridBagConstraints constaints;	private GridBagConstraints constraints;
}	}
