package comatguigu.p2.ui;	package com.atguigu.p2.ui;
Custome newCust = new Customername gender, age,, phone,email;;	Customer newCust = new Customer(name, gender, age, phone, email);
	
booleanisRepalaced = customerList.repaceCustomernumber -  1,  newCust;	boolean isRepalaced = customerList.replaceCustomer(number - 1, newCust);
ifisRepalaced{	if(isRepalaced){
System.ou.println"-----------------------------------------"	System.out.println("------------------------------------------");
}ele{	}else{
System.out.println""------------------------------------------";	System.out.println("------------------------------------------");
}	}
}	}
	
private void deleteCustomer{	private void deleteCustomer() {
System.out.println------------------------------------------";	System.out.println("------------------------------------------");
int number;	int number;
for;;1	for(;;){
Systeout.print"-1";	System.out.print("(-1)");
number=CMUtilityeadIntf;	number = CMUtility.readInt();
	
ifnumber == -1{	if(number == -1){
return	return;
}	}
	
Customer customer =customerList.getCustomernuber  - 1;	Customer customer = customerList.getCustomer(number - 1);
iflcustomer == null{	if(customer == null){
System.out.prinlnf""";	System.out.println("");
}else{	}else{
break;	break;
}	}
}	}
	
System..out.rintf"Y/N/l//"//;/	System.out.print("(Y/N/)//"/)/;/
///c//a/r/ /is/D/el/e/t/e/  /=/ /C/M/U/t/i/l//t/y/./r/e/a/d/C/o/n/f/i/r/m/S/e/l/e/c/t/i/o/n/f//;/	///c/h/a/r/ /i/s/D/e/l/e/t/e/ /=/ /C/M/U/t/i/l/i/t/y/./r/e/a/d/C/o/n/f/i/r/m/S/e/l/e/c/t/i/o/n/(/)/;/
///i/f/f/i/s/D/e/l/e/t/e/ /=/=/ /''/Y/'//1/	///i/f/(/i/s/D/e/l/e/t/e/ /=/=/ /'/Y/'/)/{/
////b/o/o/l/e/a/n/ /d/e/l/e/t/e/S/u/c/c/e/s/s/ /=/  /c/u/s/t/o/m/e/r/L/i/s/t/.//e/l/e/t/e/u/s/t/o/m/e/r//nu/m/b/e/r/ /-/ /1///	////b/o/o/l/e/a/n/ /d/e/l/e/t/e/S/u/c/c/e/s/s/ /=/ /c/u/s/t/o/m/e/r/L/i/s/t/./d/e/l/e/t/e/C/u/s/t/o/m/e/r/(/n/u/m/b/e/r/ /-/ /1/)/;/
////i/f//d//l/e/t/e/S/u/c/c/es/s//{/	////i/f/(/d/e/l/e/t/e/S/u/c/c/e/s/s/)/{/
/////S/y/s/t/e/m/./o/u/t/./p/r/i/n/t/l/n//""/-/-/-//-/-/-/-/-/-/-/-/-/-/-/-/-/-/-//-/////-/-/-/-/-/-/-/-//-/-/-/-/-/-/-/-/-/-/-/-/"//;/	/////S/y/s/t/e/m/./o/u/t/./p/r/i/n/t/l/n/(/"/-/-/-/-/-/-/-/-/-/-/-/-/-/-/-/-/-/-/-/-/-/////-/-/-/-/-/-/-/-/-/-/-/-/-/-/-/-/-/-/-/-/-/"/)/;/
/////e/l/s/e/{/	////}/e/l/s/e/{/
/////S/y/s/t/e/m/./o/u/t/./p/r/i/n/t/l/n/l//-/-/-/-/-/-/-/-/-/-/-/-/-/-/-/-/-/-/-/-/-/////-//-/-/-/-/-/-/-/-/-/-/-/-/-/-/-/-/-/-/-/"//;/	/////S/y/s/t/e/m/./o/u/t/./p/r/i/n/t/l/n/(/"/-/-/-/-/-/-/-/-/-/-/-/-/-/-/-/-/-/-/-/-/-/////-/-/-/-/-/-/-/-/-/-/-/-/-/-/-/-/-/-/-/-/-/"/)/;/
////l/	////}/
///}/els/e/{/	///}/e/l/s/e/{/
////r/e/t/u/r/n//	////r/e/t/u/r/n/;/
///}/	///}/
//1/	//}/
/	/
/ * 	/ * 
*	*
* @Description	* @Description
* @author shkstart	* @author shkstart
*  @date 201911911:35:35	* @date 201911911:35:35
*/	*/
//p/r/i/v/a/t/e/  /v/o/i/d/ /l/i/s/t/A//l/C/u/s/t//m/e/r/s//f /{/	//p/r/i/v/a/t/e/ /v/o/i/d/ /l/i/s/t/A/l/l/C/u/s/t/o/m/e/r/s/(/)/ /{/
System.out.printlnl""----------------------------------------------------\n"l;	System.out.println("------------------------------------------------------\n");
	
int total  = customerList.getTotalff;	int total = customerList.getTotal();
iftotal == 0f	if(total == 0){
Sytem.out.println"";	System.out.println("");
	
}else{	}else{
System.out.println""\t\t\t\t\t\t";	System.out.println("\t\t\t\t\t\t");
Customer  css = customerList.gtAllCustomersl;	Customer[] custs = customerList.getAllCustomers();
orint i = 0;i custs.length;i++{	for(int i = 0;i < custs.length;i++){
Customer cust= custsil;	Customer cust = custs[i];
System.out.printlni + 1 + "\t" + cust..getName +	System.out.println((i + 1) + "\t" + cust.getName() +
"\t  + custgetGnderl + "\t" + cust.getAgel +	"\t" + cust.getGender() + "\t" + cust.getAge() +
"\t" + cust.getPhone + "\t" + cust.getEmaillf;	"\t" + cust.getPhone() + "\t" + cust.getEmail());
1	}
}	}
	
	
System.out.printl"-------------------------------------------------"	System.out.println("--------------------------------------------------");
	}
public static voi mainStringl args {	public static void main(String[] args) {
ustomerView view = new Customeriewf;;	CustomerView view = new CustomerView();
view..enterMainMnu;	view.enterMainMenu();
}	}
}	}
