import com.sun.rowet*;	import com.sun.rowset.*;
}	}
finally	finally
{	{
conn.close;	conn.close();
}	}
}	}
catch SQLExceptione	catch (SQLException e)
{	{
JOptionPane.showMessageDialogthis,, e;	JOptionPane.showMessageDialog(this, e);
f	}
1	}
	
publicvoid saveChanges	public void saveChanges()
{	{
try	try
{	{
Connecton con  = getConnection	Connection conn = getConnection();
tr	try
	{
daaPanel.setRowcrs;	dataPanel.setRow(crs);
crs.acceptChangeconnf;	crs.acceptChanges(conn);
}	}
finlly	finally
{	{
conn..close;	conn.close();
1	}
}	}
catch SQLException e	catch (SQLException e)
{	{
JOptionPane.showMessageDialogthis,e;	JOptionPane.showMessageDialog(this, e);
}	}
}	}
private void readDatabasePropertiesl  throws IOException	private void readDatabaseProperties() throws IOException
{	{
props =new Properties;	props = new Properties();
FileInputStream in  new FileInputStreaml"database.properties";	FileInputStream in = new FileInputStream("database.properties");
propsloadinl;;	props.load(in);
in..close;	in.close();
Stringdrivers = props.getProperty"jdbc.drivers"l;	String drivers = props.getProperty("jdbc.drivers");
i drivers != null Sysem.setProperty"jbc.drivers", driversf;	if (drivers != null) System.setProperty("jdbc.drivers", drivers);
}	}
	
	
private ConnectiongetConnection throws SQLException	private Connection getConnection() throws SQLException
{	{
String url =  props.getPropertyl"jdbc.url"l;	String url = props.getProperty("jdbc.url");
String usename =props.getProperty"jdbc.username"f;	String username = props.getProperty("jdbc.username");
String password = props.getProperty"jdbc.password";	String password = props.getProperty("jdbc.password");
return DriverManager..etConnectionurl, usrame,  passwordf;	return DriverManager.getConnection(url, username, password);
	}
publicstatic final int DEFAULT_WIDTH =  400;	public static final int DEFAULT_WIDTH = 400;
public static  final int  DEFAULT_HEIGHT  = 200;	public static final int DEFAULT_HEIGHT = 200;
private JButton previousButton;	private JButton previousButton;
private JButton  nextButton;	private JButton nextButton;
privateJButton deleteButton;;	private JButton deleteButton;
private JButton saveButton;	private JButton saveButton;
private DataPanel dataPanel;	private DataPanel dataPanel;
private Component scrollane;	private Component scrollPane;
privte  JComboBox tableNames;;	private JComboBox tableNames;
private Properties props;	private Properties props;
privateCahedRowSet crs;	private CachedRowSet crs;
}	}
class DataPanel extends JPanel	class DataPanel extends JPanel
{	{
	
public DataanelRowSet rs throws SQLException	public DataPanel(RowSet rs) throws SQLException
{	{
fields = new  ArrayList<JTextField>;	fields = new ArrayList<JTextField>();
setLayoutnew GriBagLayoutf;;	setLayout(new GridBagLayout());
GridBagConstintsgbc =new GridBagConstraints;	GridBagConstraints gbc = new GridBagConstraints();
gbc.gridwidth =1;;	gbc.gridwidth = 1;
gbc.gridheight =  1;;	gbc.gridheight = 1;
ResultSetMetaData rsmd = rs.getMtaDatal	ResultSetMetaData rsmd = rs.getMetaData();
for int i = 1;; i<= rsmd.getColumnCountf; i++	for (int i = 1; i <= rsmd.getColumnCount(); i++)
{	{
gbc.gridy = i- 1;	gbc.gridy = i - 1;
String columnName = rsmd.getColumnLabelli;	String columnName = rsmd.getColumnLabel(i);
gbc.gridx = 0;	gbc.gridx = 0;
gbc..anchor= GridBagConstraints.EAST;	gbc.anchor = GridBagConstraints.EAST;
addnew JLabelcolumnName, gbc;	add(new JLabel(columnName), gbc);
int columnWidth = rsmd.getColumnDisplaySizei	int columnWidth = rsmd.getColumnDisplaySize(i);
JTextField b =new JTextFieldlcolumnWidth;	JTextField tb = new JTextField(columnWidth);
if !rsmd..getColumnClassNamei.eqls"java.lang.String"l	if (!rsmd.getColumnClassName(i).equals("java.lang.String"))
tb..seEdtablefalse;	tb.setEditable(false);
	
fields.addtb;	fields.add(tb);
gc.gridx  = 1;	gbc.gridx = 1;
gbc.anchor =  GridBagConstraints.WEST;	gbc.anchor = GridBagConstraints.WEST;
addtb, gbc;;	add(tb, gbc);
}	}
}	}
	
public void showRowResultSet rs throws SQLExceptio	public void showRow(ResultSet rs) throws SQLException
{	{
for int i= 1; i <= fields..size i++	for (int i = 1; i <= fields.size(); i++)
{	{
String field= rs..getStringi	String field = rs.getString(i);
JTextField tb = JTextField fieldsgetli - 1;	JTextField tb = (JTextField) fields.get(i - 1);
tb.setTextfield;	tb.setText(field);
}	}
f	}
	
	
pulic void setRoRowSet rsthrows SQLException	public void setRow(RowSet rs) throws SQLException
{	{
for int i = 1; i <= fields.size; i++	for (int i = 1; i <= fields.size(); i++)
{	{
Strin field  rs.getStringi;;	String field = rs.getString(i);
JTextField  tb = JTextFieldfields.geti - 1;	JTextField tb = (JTextField) fields.get(i - 1);
if l!field.equalstb.getTextlf	if (!field.equals(tb.getText()))
rs.updateStringi, tb.getTextf;	rs.updateString(i, tb.getText());
}	}
rsupdteRow;	rs.updateRow();
}	}
private  ArrayList<JTextField> fields;	private ArrayList<JTextField> fields;
}	}
