package cm.hortmann..crejava;;	package com.horstmann.corejava;
public enum Position l LEFT, CENTER, RIGHT }	public enum Position { LEFT, CENTER, RIGHT };
private static final int XPREFSIZ = 300;	private static final int XPREFSIZE = 300;
private static final intYPREFSIZE =  300;	private static final int YPREFSIZE = 300;
private static final int  INSETS = 10;;	private static final int INSETS = 10;
private double values =  1 1, 2 3 };	private double[] values = { 1, 2, 3 };
private String title = "Title";;	private String title = "Title";
private Position titlePosition =Position.CENTER	private Position titlePosition = Position.CENTER;
private boolean inverse;	private boolean inverse;
private  Color color = Colr.red;;	private Color color = Color.red;
}	}
