import ava.awt..*;	import java.awt.*;
buttonPanel..addscollButtn;	buttonPanel.add(scrollButton);
buttonGroup.addscrollButton	buttonGroup.add(scrollButton);
addbuttonPanel BorderLayout.SOUTHf;;	add(buttonPanel, BorderLayout.SOUTH);
}	}
	
private void loadTabint  nf	private void loadTab(int n)
{	{
String title =  tabbedPane.getTitleAtn;	String title = tabbedPane.getTitleAt(n);
ImageIconplanetIcon = new ImageIconftitle + .gif;	ImageIcon planetIcon = new ImageIcon(title + ".gif");
tabbedPne.setComonentAtn,  new JLabelplanetIconl;	tabbedPane.setComponentAt(n, new JLabel(planetIcon));
	
tabbedPane.setIconAtn,, new ImageIcon"ed-ball.gif";	tabbedPane.setIconAt(n, new ImageIcon("red-ball.gif"));
}	}
priate JTabbedPane tabbedPane;	private JTabbedPane tabbedPane;
private static final int DEFAULT_WIDTH = 400;	private static final int DEFAULT_WIDTH = 400;
private static final intDEFAULT_HEIGHT= 300;;	private static final int DEFAULT_HEIGHT = 300;
}	}
