package iogithub..dunwu.algorithm.trie;	package io.github.dunwu.algorithm.trie;
 / / / / / /  / / / / /r/e/tu/r/n/ /f/a/l/s/e/;	/ / / / / / / / / / / / /r/e/t/u/r/n/ /f/a/l/s/e/;/
/ / /  /  // / / }/	/ / / / / / / / /}/
/	/
/ / / / /  / / /T/r/i/e/N/o/d// /n/o//e/  /= /r/o/o/t//	/ / / / / / / / /T/r/i/e/N/o/d/e/ /n/o/d/e/ /=/ /r/o/o/t/;/
/ / / / // / / /f/o/r/ //i/n/t//i/ /=/ /0//  /i/ /</ /w/o/r/d/../l/e/n/g/t/h///;/ /i/+/+// /{/	/ / / / / / / / /f/o/r/ /(/i/n/t/ /i/ /=/ /0/;/ /i/ /</ /w/o/r/d/./l/e/n/g/t/h/(/)/;/ /i/+/+/)/ /{/
/ / /  /  / / // / / / / /c/h/a/r/ /c/ /=/ /w/o/r/d/./c/h/a/r/At/l/i//;/	/ / / / / / / / / / / / /c/h/a/r/ /c/ /=/ /w/o/r/d/./c/h/a/r/A/t/(/i/)/;/
/ / // / / / / / / / / /i/n/t/ /i/n/d/e/x/ /=/ /c/ /-/ /'/a/'/;/	/ / / / / / / / / / / / /i/n/t/ /i/n/d/e/x/ /=/ /c/ /-/ /'/a/'/;/
/ / /  / / / / / / /  //  /i/f/ //n/o/d/e/./c/h/i/l/d/r/e/n/l/i/n/d/e/x// /==/ /n/u/l/l// /{/	/ / / / / / / / / / / / /i/f/ /(/n/o/d/e/./c/h/i/l/d/r/e/n/[/i/n/d/e/x/]/ /=/=/ /n/u/l/l/)/ /{/
  / // /  / / /  / / / // / / / /r/e//u/r/n/ /f/a/l/s/e/;	/ / / / / / / / / / / / / / / / /r/e/t/u/r/n/ /f/a/l/s/e/;/
/ /  / / //  / /  /  / / / /l/	/ / / / / / / / / / / / /}/
/ / // / / / / / / / / n/o/d// /=//n/o/d/e/./c/h/i/l/d/r/e/n/l/i/n/d/e/x///	/ / / / / / / / / / / / /n/o/d/e/ /=/ /n/o/d/e/./c/h/i/l/d/r/e/n/[/i/n/d/e/x/]/;/
/ / / / / / / / /}/	/ / / / / / / / /}/
/ /  // / / / / /r//t/u/r//  /n/o/d/e/./i//E/n/d/;/	/ / / / / / / / /r/e/t/u/r/n/ /n/o/d/e/./i/s/E/n/d/;/
/ /  / / //	/ / / / /}/
/	/
/ / / / /p/u/b/l/i/c/ /b/o/o/l/e/a/n/ /s/t/a/r/t/s/W/i/t/h/l/S/t/r/i/n/g/ /p/r/e/f//x// /{/	/ / / / /p/u/b/l/i/c/ /b/o/o/l/e/a/n/ /s/t/a/r/t/s/W/i/t/h/(/S/t/r/i/n/g/ /p/r/e/f/i/x/)/ /{/
/ / / / / / / / /i/f/ //p/r/e/f/i/x /=/=/n/u/l/l/ /|/|/  /p/r/e/f/i/x/./l/e/n/gt/h/// /=/=/ /0// /{/	/ / / / / / / / /i/f/ /(/p/r/e/f/i/x/ /=/=/ /n/u/l/l/ /|/|/ /p/r/e/f/i/x/./l/e/n/g/t/h/(/)/ /=/=/ /0/)/ /{/
// /  / / / / // // / /r/e/t/u/r/n/ /f/a/l/s/e/;/	/ / / / / / / / / / / / /r/e/t/u/r/n/ /f/a/l/s/e/;/
/ / / / / / /  /  /f/	/ / / / / / / / /}/
/	/
/ / / // / / / /T/r/i/e/N/o/d/e/ /n/o/d/e/ /=/ /ro/o/t/;/	/ / / / / / / / /T/r/i/e/N/o/d/e/ /n/o/d/e/ /=/ /r/o/o/t/;/
/ / / /  / /  / / /f/o/r/  //i/n/t/ /i/ /=/ /0//  /i/  /</ /p/r/e/f/i/x/./l//n/g/t/h//l/;/ /i/+/+/f/ /{/	/ / / / / / / / /f/o/r/ /(/i/n/t/ /i/ /=/ /0/;/ /i/ /</ /p/r/e/f/i/x/./l/e/n/g/t/h/(/)/;/ /i/+/+/)/ /{/
/ / /  / / / / /  // //  /c/h/a/r/ /c/ /=/ /p/r/e/f/i/x/./c/ha/r/A/t//i//;/	/ / / / / / / / / / / / /c/h/a/r/ /c/ /=/ /p/r/e/f/i/x/./c/h/a/r/A/t/(/i/)/;/
/ / / / / / /  / / / / / /i/n/t/ /i/n/d/e/x/ /=/ /c//-/ /'/a/'/;/	/ / / / / / / / / / / / /i/n/t/ /i/n/d/e/x/ /=/ /c/ /-/ /'/a/'/;/
/ / / / / / / / / / /  / //f/ /f/n/o/d/e/./c/h/i/l/d/r/e/n//i/n/d/e/x/ /=/=/ /n/u/l/l// /{/	/ / / / / / / / / / / / /i/f/ /(/n/o/d/e/./c/h/i/l/d/r/e/n/[/i/n/d/e/x/]/ /=/=/ /n/u/l/l/)/ /{/
/ / / // / / / / / / /  / / /  /r/e/t/u/r/n/ /f/a/l/s//;/	/ / / / / / / / / / / / / / / / /r/e/t/u/r/n/ /f/a/l/s/e/;/
/ / / / / //// / / / /}/	/ / / / / / / / / / / / /}/
///  / / / / / / / / / /n/o/d/e/ /=/ /n/o/d/e/.c/h/i/l/d/r/e/n//i/n/d/e/x//;/	/ / / / / / / / / / / / /n/o/d/e/ /=/ /n/o/d/e/./c/h/i/l/d/r/e/n/[/i/n/d/e/x/]/;/
// / /   / / / /}/	/ / / / / / / / /}/
// / / / / / / /r/e/t//r/n/ /t/r/u/e/;/	/ / / / / / / / /r/e/t/u/r/n/ /t/r/u/e/;/
/ /// /}/	/ / / / /}/
/	/
/ // / //u/b/l/i/c/ /s/t/a/t/i/c/ //l/a/s/s/  /T/r/i/e/N/o/d/e/ /f/	/ / / / /p/u/b/l/i/c/ /s/t/a/t/i/c/ /c/l/a/s/s/ /T/r/i/e/N/o/d/e/ /{/
/	/
/ / / / //  / //b/o/o/l/e/a/n//i/s/En/d/;;/	/ / / / / / / / /b/o/o/l/e/a/n/ /i/s/E/n/d/;/
/  / / / / / / /ch/a/r/ /d/a/t/a/;/	/ / / / / / / / /c/h/a/r/ /d/a/t/a/;/
/ /  / / /  / / / /T/r/i/e/N//d/e////c/h/i/l/d/r/e/n/;/	/ / / / / / / / /T/r/i/e/N/o/d/e/[/]/ /c/h/i/l/d/r/e/n/;/
/	/
/ / // / / / /  /p/u/b/l/i/c/ /T/r/i/e/N/o/d/e//c/h/a/r/ /d/a/ta// /{/	/ / / / / / / / /p/u/b/l/i/c/ /T/r/i/e/N/o/d/e/(/c/h/a/r/ /d/a/t/a/)/ /{/
/ / / // /  // / / / / /t/h/i/s//d/a/t/a/,/ /f/a/l/s/e//;/	/ / / / / / / / / / / / /t/h/i/s/(/d/a/t/a/,/ /f/a/l/s/e/)/;/
/ / / / / / / //f/	/ / / / / / / / /}/
/	/
/ / / / // /  / /p/u/b/l/i/c//T/r/i/e/N/o/d/e//c/h/a/r/  /d/a/a/,,/ /b/o/o/l/e/a/n/ /i/s/E/n/d///{/	/ / / / / / / / /p/u/b/l/i/c/ /T/r/i/e/N/o/d/e/(/c/h/a/r/ /d/a/t/a/,/ /b/o/o/l/e/a/n/ /i/s/E/n/d/)/ /{/
/ /  / / / / / / // //t/h/i/s/./d/a/t/a/ /=/ //a/t/a/;/	/ / / / / / / / / / / / /t/h/i/s/./d/a/t/a/ /=/ /d/a/t/a/;/
/ / / / /  / / / / / / / /t/h/i/s/./i/s/E/n/d/ /=/ /i/s/E/n/d/;/	/ / / / / / / / / / / / /t/h/i/s/./i/s/E/n/d/ /=/ /i/s/E/n/d/;/
/ / /  / / / /  / / / / //h/i/l/d/r/e/n/ /=/  /n/e/w/ /T/r/i/e/N/o/d/e//M/A/X/_/W/O/R/D/_/C/O/U/N/T//;/	/ / / / / / / / / / / / /c/h/i/l/d/r/e/n/ /=/ /n/e/w/ /T/r/i/e/N/o/d/e/[/M/A/X/_/W/O/R/D/_/C/O/U/N/T/]/;/
/ / /  / / / / /  /1/	/ / / / / / / / /}/
/	/
/ / // }/	/ / / / /}/
/	/
/}/	/}/
