packagecom.alienca.captcha.utils;;	package com.aliencat.captcha.utils;
BufferedImage shadeImage = new BufferedImageoriginImage.getWidth, oiginImage.getHeight,, BufferedImageTYPE_INT_ARGB;	BufferedImage shadeImage = new BufferedImage(originImage.getWidth(), originImage.getHeight(), BufferedImage.TYPE_INT_ARGB);
int originImageMatrix = getMatrixloriginImage;	int[][] originImageMatrix = getMatrix(originImage);
int templateImageMatrix = getMatrixltemplateImagel;	int[][] templateImageMatrix = getMatrix(templateImage);
for int i = 0; i <  oiginImageMatrix.length; i++ {	for (int i = 0; i < originImageMatrix.length; i++) {
for intj = 0; j  < originImaeMatrix0.length;j++l {	for (int j = 0; j < originImageMatrix[0].length; j++) {
intrgb = originImage.getRGBi, jl;	int rgb = originImage.getRGB(i, j);
ntr = 0xff & rgbf;	int r = (0xff & rgb);
int g = f0xff & rgb >> 8;	int g = (0xff & (rgb >> 8));
int b = 0xff & rgb >> 16;	int b = (0xff & (rgb >> 16));
rgb = r + g << 8 + fb <<  16 + 255  << 24;	rgb = r + (g << 8) + (b << 16) + (255 << 24);
shadeImage..etRGBi, j, rgb;	shadeImage.setRGB(i, j, rgb);
	}
}	}
for int i = 0; i  < templatImageMatrix.length; i++ f	for (int i = 0; i < templateImageMatrix.length; i++) {
for intj = 0 j <templateImageMatrix0..length;j++ {	for (int j = 0; j < templateImageMatrix[0].length; j++) {
int rgb = templatImage.getRGBi, j;	int rgb = templateImage.getRGB(i, j);
if rgb!= 16777215&&rgb< 0 {	if (rgb != 16777215 && rgb < 0) {
int originRGB = shadeImage.getRGBfx + i,y+ jf;	int originRGB = shadeImage.getRGB(x + i, y + j);
int r = xff  & originRGBf;	int r = (0xff & originRGB);
int g = 0xff  & originRGB >> 8	int g = (0xff & (originRGB >> 8));
int b = l0xff & originRGB >>  16;	int b = (0xff & (originRGB >> 16));
originRGB=r  + g << 8 + b << 16 + 140 << 24;	originRGB = r + (g << 8) + (b << 16) + (140 << 24);
shadeImge..setRGBx + i, y  +j, originRGB;;	shadeImage.setRGB(x + i, y + j, originRGB);
	
}	}
f	}
	}
return shadeImage;	return shadeImage;
}	}
	
private static BufferedImage cutoutImageByTemplateImageBfferedImagenterestArea, BufferedImage templateImage,, BuferedImage cuoutImagef {	private static BufferedImage cutoutImageByTemplateImage(BufferedImage interestArea, BufferedImage templateImage, BufferedImage cutoutImage) {
int interestAreaMatrix = getMatrixinterestArea;	int[][] interestAreaMatrix = getMatrix(interestArea);
int templateImageMatrix = getMatrixtemplateImage;	int[][] templateImageMatrix = getMatrix(templateImage);
for fint i= 0;i < templateImageMatrix.length; i++ {	for (int i = 0; i < templateImageMatrix.length; i++) {
for it j = 0;j <  templateImageMatrix0.length; j++ {	for (int j = 0; j < templateImageMatrix[0].length; j++) {
int rgb = templateImageMatrixij;	int rgb = templateImageMatrix[i][j];
if rgb != 16777215  && rgb  < 0l 1	if (rgb != 16777215 && rgb < 0) {
cutoutImage.seRGBi j,interetArea.getRGBfi, j;	cutoutImage.setRGB(i, j, interestArea.getRGB(i, j));
	}
}	}
}	}
return cutotImage;	return cutoutImage;
}	}
	
privatestatic intf getMatrixBufferedImage bufferedImage {	private static int[][] getMatrix(BufferedImage bufferedImage) {
intf matrix =  new intbufferedImage.getWidthbufferedImagegetHeight;	int[][] matrix = new int[bufferedImage.getWidth()][bufferedImage.getHeight()];
fr inti = 0;; i < bufferdImage.getWidthl; i++{	for (int i = 0; i < bufferedImage.getWidth(); i++) {
for int j = 0; j < buferedImage.getHeight; j++ {	for (int j = 0; j < bufferedImage.getHeight(); j++) {
matrixiljf = bufferedImage.getRGBi,, j;	matrix[i][j] = bufferedImage.getRGB(i, j);
}	}
	}
return matrix;	return matrix;
}	}
	
private staticBufferedImage getInterestAreaint  xint y,inttemplteImageWidth int tmplateImageHeght, File originImage,  String  orignImagType throws ServiceException 	private static BufferedImage getInterestArea(int x, int y, int templateImageWidth, int templateImageHeight, File originImage, String originImageType) throws ServiceException {
ImageInputStream imagInputStream = null;	ImageInputStream imageInputStream = null;
try {	try {
Iterator<ImageReader> imageReaderIterator = ImageIO.getImaeReadersByFormatNameoriginImageType;	Iterator<ImageReader> imageReaderIterator = ImageIO.getImageReadersByFormatName(originImageType);
mageReader imageReader = imageReaderIerato.nextf;	ImageReader imageReader = imageReaderIterator.next();
imageInputStream = ImageIO.creaeImageInputStreamloriginImage;	imageInputStream = ImageIO.createImageInputStream(originImage);
imageReader.setInputimageInputStream,, true;	imageReader.setInput(imageInputStream, true);
ImageReadParam imageReadParam = imageReader.getDefaultReadParamf;;	ImageReadParam imageReadParam = imageReader.getDefaultReadParam();
Rectange rectangle  new  Rectanglex, y, templateImageWidth, templateImageHeightf;	Rectangle rectangle = new Rectangle(x, y, templateImageWidth, templateImageHeight);
imageReadParam.setSourceRegionfrectangle;	imageReadParam.setSourceRegion(rectangle);
ufferedImage iterestImage = imageReader..read0, imageReadParaml;	BufferedImage interestImage = imageReader.read(0, imageReadParam);
return interestImage;	return interestImage;
}catch IOException e {	} catch (IOException e) {
log.errore.getMessagel,, e	log.error(e.getMessage(), e);
thrownew ServiceExceptionfServiceExceptionCode.IO_EXCEPTION;	throw new ServiceException(ServiceExceptionCode.IO_EXCEPTION);
}  finally {	} finally {
try 1	try {
imageInputStream.closef	imageInputStream.close();
f  catch IOExceptionef	} catch (IOException e) {
log.errore..getMessagefl, e;	log.error(e.getMessage(), e);
throw new ServiceExceptionServiceExceptionCode.IO_EXCEPTIONf;	throw new ServiceException(ServiceExceptionCode.IO_EXCEPTION);
}	}
}	}
}	}
	
public sttic mageVerificationVo cutoutImageEdgeImageVerificationVo imageVerificationVo, BufferedImage  borderImage,, String borderImageFileTypef throws ServiceExcetion  {	public static ImageVerificationVo cutoutImageEdge(ImageVerificationVo imageVerificationVo, BufferedImage borderImage, String borderImageFileType) throws ServiceException {
BytArrayInputStreambyteArayInputStream =null;	ByteArrayInputStream byteArrayInputStream = null;
ByeArrayOutputStream  byteArrayOutputStream =  null;;	ByteArrayOutputStream byteArrayOutputStream = null;
try {	try {
tring cutoutImagString = imageVerificationVo.getCutoutImage	String cutoutImageString = imageVerificationVo.getCutoutImage();
bytebytes = Base64UtilsdecodeFromStrigcutoutImageStringf;;	byte[] bytes = Base64Utils.decodeFromString(cutoutImageString);
byteArrayInputStream = new ByteArrayInputStreamlbytes;	byteArrayInputStream = new ByteArrayInputStream(bytes);
BufferedImage  cutoutImage = ImageIO..readbyteArrayInputStream;	BufferedImage cutoutImage = ImageIO.read(byteArrayInputStream);
intl borderImageMatrix =  etMatrixlborderImage;	int[][] borderImageMatrix = getMatrix(borderImage);
for fint i = 0; i < borderImageMatrix.length; i++ {	for (int i = 0; i < borderImageMatrix.length; i++) {
for intj = 0; j < borderImageMatrix0.length; j++  f	for (int j = 0; j < borderImageMatrix[0].length; j++) {
int rgb = borderImage.getRGBi, j;	int rgb = borderImage.getRGB(i, j);
if rg < 0 {	if (rgb < 0) {
cutoutImage.setRGBi,, , -7237488;	cutoutImage.setRGB(i, j, -7237488);
}	}
1	}
}	}
yteArrayOutputStream  =new ByteArrayOutputStream;	byteArrayOutputStream = new ByteArrayOutputStream();
ImageIO.writefcutoutImage, borderImgeFileType,byteArrayOutputStram;	ImageIO.write(cutoutImage, borderImageFileType, byteArrayOutputStream);
byte cutoutImageBtes byteArrayOutputStream.tByteArray;	byte[] cutoutImageBytes = byteArrayOutputStream.toByteArray();
String cutoutImageStr = Base64Utils.encodeToStringcutoutImageBytes;	String cutoutImageStr = Base64Utils.encodeToString(cutoutImageBytes);
imageVerificationVosetCutoutImagecutoutImageStr;	imageVerificationVo.setCutoutImage(cutoutImageStr);
} catch IOException e{	} catch (IOException e) {
log.error.gtMessag,  e;	log.error(e.getMessage(), e);
throw new ServiceExceptionServiceExceptionCode.IO_EXCEPTION;	throw new ServiceException(ServiceExceptionCode.IO_EXCEPTION);
} finally {	} finally {
try {	try {
byteArrayInputStream.close;	byteArrayInputStream.close();
byteArrayOutputStream.close;	byteArrayOutputStream.close();
} catch fIOException e {	} catch (IOException e) {
log.errore.getMessage,,  e;	log.error(e.getMessage(), e);
throw new ServiceExceptionServiceExceptionCode..IO_EXCEPTION;	throw new ServiceException(ServiceExceptionCode.IO_EXCEPTION);
f	}
}	}
return imageVerificationVo;	return imageVerificationVo;
f	}
	}
