package  com.aliencat.javabase.utils;;	package com.aliencat.javabase.utils;
/ / / //p/u/b/l/i/c/ s/t/a/t/i/c/ /l/o/n/g//d/a/y//D/i/f/f//S/t//i/n/g/ /s/t/a/r/t/D/a/t/e/,/ /S/t/r/i/n/g/ /e/n/d/D/a/t/e// //	/ / / / /p/u/b/l/i/c/ /s/t/a/t/i/c/ /l/o/n/g/ /d/a/y/s/D/i/f/f/(/S/t/r/i/n/g/ /s/t/a/r/t/D/a/t/e/,/ /S/t/r/i/n/g/ /e/n/d/D/a/t/e/)/ /{/
/ / / / / / / / /r/e/t/u/r/n/ /d/a/y/s/D/i/f/f/f/p/a/r/s/e//s/t/a/rt/D/a/t/e//,/ /p/a/r/s/e//e/n/d/D/a/t/e///;/	/ / / / / / / / /r/e/t/u/r/n/ /d/a/y/s/D/i/f/f/(/p/a/r/s/e/(/s/t/a/r/t/D/a/t/e/)/,/ /p/a/r/s/e/(/e/n/d/D/a/t/e/)/)/;/
/ / / / /}/	/ / / / /}/
/	/
/ / / / /p/u/b/l/i/c //t/a/t/i/c//l/o/n// /d/a/ys/D/i/f/f//T/e/m/p/o/r/a/l/ /s/t/a/r/t/D/a/t/e/,/  /T/e/m/p/o/r/a/l/ /e/n/d/D/a/t/e// /{/	/ / / / /p/u/b/l/i/c/ /s/t/a/t/i/c/ /l/o/n/g/ /d/a/y/s/D/i/f/f/(/T/e/m/p/o/r/a/l/ /s/t/a/r/t/D/a/t/e/,/ /T/e/m/p/o/r/a/l/ /e/n/d/D/a/t/e/)/ /{/
/ / / / /  / / / /r/e/t//r/n/ /C/h/r/o/n/o/U/n/i/t/./D/A/Y/S/./be/t/w/e/e/n//s/ta/r/t/D/a/t/e/,/ /e//d/D/a/t/e//;/	/ / / / / / / / /r/e/t/u/r/n/ /C/h/r/o/n/o/U/n/i/t/./D/A/Y/S/./b/e/t/w/e/e/n/(/s/t/a/r/t/D/a/t/e/,/ /e/n/d/D/a/t/e/)/;/
/ / / / //	/ / / / /}/
/	/
/ /  / / * 	/ / / / * 
*	*
* @param startDate	* @param startDate
* @parmendDate	* @param endDate
*  @return	* @return
*/	*/
/// /  /p/u/b/l/i/c/ /s/t/a/t/i/c//l/o/n/g/  /h/o/u/rs//i/f/f//S/t/r/i/n/g/ /st/a/r/t/D/a/t/e/,/ /S/t/r/i/n/g/ /e/n/d/Da/t/e// /{/	/ / / / /p/u/b/l/i/c/ /s/t/a/t/i/c/ /l/o/n/g/ /h/o/u/r/s/D/i/f/f/(/S/t/r/i/n/g/ /s/t/a/r/t/D/a/t/e/,/ /S/t/r/i/n/g/ /e/n/d/D/a/t/e/)/ /{/
/ / / / / / / /r/e/t/u/r/n/ /h/o/u/r/s/D/i/f/f//p/a/r/s/e//s/t/a/r/t/D/a/t/e//,/ /p/a/r/s/e//e/n/d/D/a/t/e//l/;/	/ / / / / / / / /r/e/t/u/r/n/ /h/o/u/r/s/D/i/f/f/(/p/a/r/s/e/(/s/t/a/r/t/D/a/t/e/)/,/ /p/a/r/s/e/(/e/n/d/D/a/t/e/)/)/;/
/  / / /}/	/ / / / /}/
/	/
/ / / / /p/u/b/l/i/c/ /s/t/a/t/i/c /l/o/n/g/ /h/o/u/r/s/D/i/f/f//T/em/p/o/r/a/l/  /s/t/a/r/tD/a/t/e/,/ /T/e/m/p/o/r/a/l/ /e/n/d/D/a/t/e// /{/	/ / / / /p/u/b/l/i/c/ /s/t/a/t/i/c/ /l/o/n/g/ /h/o/u/r/s/D/i/f/f/(/T/e/m/p/o/r/a/l/ /s/t/a/r/t/D/a/t/e/,/ /T/e/m/p/o/r/a/l/ /e/n/d/D/a/t/e/)/ /{/
/ / /  / // / / /r/e/t/u/r/n/ /C/h/r/o/n/o/U/n/i/t/./H/O/U/R/S/./b/e//w/e/e/n//s/t/a/r/t/D/a/t/e/,/ /e/n/d/D/a/t/e///	/ / / / / / / / /r/e/t/u/r/n/ /C/h/r/o/n/o/U/n/i/t/./H/O/U/R/S/./b/e/t/w/e/e/n/(/s/t/a/r/t/D/a/t/e/,/ /e/n/d/D/a/t/e/)/;/
 / / / /}/	/ / / / /}/
/	/
/ / /   * 	/ / / / * 
*	*
* @param startDate	* @param startDate
* @param endDate	* @param endDate
* @return	* @return
*/	*/
// / / /p/u/b/l/i/c/ /s/t/a/t/i/c/  /l/o/n/g/ /m/i/n/u/t/e/s/D/i/f/f/l/S/t/r/i/n/g/ /s/t/a/r/t/D/a/t/e/,/ /S/t/r/i/n/g/ /e/n/d/D/a/t/e// /{/	/ / / / /p/u/b/l/i/c/ /s/t/a/t/i/c/ /l/o/n/g/ /m/i/n/u/t/e/s/D/i/f/f/(/S/t/r/i/n/g/ /s/t/a/r/t/D/a/t/e/,/ /S/t/r/i/n/g/ /e/n/d/D/a/t/e/)/ /{/
/ / / / / / /  /  /r/e/t/u/r/n/ /m/i/n/u/t/e/s/D/i/f/f/l/p/a/r/s/e//s/t/a/r/t/D/a/t/e//,/ /p/a/r/s/e//e/n/d/D/a/t/e///;/	/ / / / / / / / /r/e/t/u/r/n/ /m/i/n/u/t/e/s/D/i/f/f/(/p/a/r/s/e/(/s/t/a/r/t/D/a/t/e/)/,/ /p/a/r/s/e/(/e/n/d/D/a/t/e/)/)/;/
/ / / / /}/	/ / / / /}/
/	/
/ / // /p/u/b/l/i/c/ /s/t/a/t/i/c/ /l/o/n/g//m/i/n/u/te/s/D/i/f/f//T/e/m/p/o/r/a/l/ /s/t/a/r/t/D/a/t/e// /T/e/m/p/o/r/a/l/ /e/n/d/D/a/t/e// /{/	/ / / / /p/u/b/l/i/c/ /s/t/a/t/i/c/ /l/o/n/g/ /m/i/n/u/t/e/s/D/i/f/f/(/T/e/m/p/o/r/a/l/ /s/t/a/r/t/D/a/t/e/,/ /T/e/m/p/o/r/a/l/ /e/n/d/D/a/t/e/)/ /{/
/ / / / / /  / /r/e/t/u/r/n/ /C/h/r/o/n/o/U/n/i/t/./M//N/U/T/E/S/./b/e/tw/e/e/n//s/t/a/r/t/D/a/t/e/,/  /e/n/d/D/a/t/e///	/ / / / / / / / /r/e/t/u/r/n/ /C/h/r/o/n/o/U/n/i/t/./M/I/N/U/T/E/S/./b/e/t/w/e/e/n/(/s/t/a/r/t/D/a/t/e/,/ /e/n/d/D/a/t/e/)/;/
/ / / / /}/	/ / / / /}/
/	/
/ / / /  * 	/ / / / * 
*	*
* @param startDte	* @param startDate
* @param endDate	* @param endDate
* @return	* @return
*/	*/
/ / / / /p/u/b/l/i/c/ /s/t/a/t/i/c/ /l/o/n/g/ /s/e/c/o/n/d/s/D/i/f/f//S/t/r/i/n/g/ /s/t/a/r/t/D/at/e/,/ /S/t/r/i/n/g//en/d/D/a/t/e/ /l/	/ / / / /p/u/b/l/i/c/ /s/t/a/t/i/c/ /l/o/n/g/ /s/e/c/o/n/d/s/D/i/f/f/(/S/t/r/i/n/g/ /s/t/a/r/t/D/a/t/e/,/ /S/t/r/i/n/g/ /e/n/d/D/a/t/e/)/ /{/
/  / / / / / / / /r/e/t/u/r/n/ /s/e/c/o/n/d/s/D/i/f/f//p/a/r/s/e//s/t/a/r/t/D/a/t/e//,/ /p/a/r/s/e//e/n/d//a/t/e////	/ / / / / / / / /r/e/t/u/r/n/ /s/e/c/o/n/d/s/D/i/f/f/(/p/a/r/s/e/(/s/t/a/r/t/D/a/t/e/)/,/ /p/a/r/s/e/(/e/n/d/D/a/t/e/)/)/;/
/ / /   /}/	/ / / / /}/
/	/
/ /   / /p/u/b/l/i/c/  /s/t/a/t/ic/ /l/o/n/g//s/e/c/o/nd/s/D/i/f/f//T/e/m/p/o/r/al/ /s/t/a/r/t/D/a/t/e/,/ /T/e/m/p/o/r/a/l/ /e//d/D/a/t/e///1/	/ / / / /p/u/b/l/i/c/ /s/t/a/t/i/c/ /l/o/n/g/ /s/e/c/o/n/d/s/D/i/f/f/(/T/e/m/p/o/r/a/l/ /s/t/a/r/t/D/a/t/e/,/ /T/e/m/p/o/r/a/l/ /e/n/d/D/a/t/e/)/ /{/
/ / / / / / / /  /r/e/t/u/r/n/ /C/h/r/o/n/o/U/n/i/t/./S/E/C/O/N/D//./b/e/t/w/e/e/n/f/s/t/a/r/t/D/a/t/e/,/ /e/n/d/D/a/t/e///	/ / / / / / / / /r/e/t/u/r/n/ /C/h/r/o/n/o/U/n/i/t/./S/E/C/O/N/D/S/./b/e/t/w/e/e/n/(/s/t/a/r/t/D/a/t/e/,/ /e/n/d/D/a/t/e/)/;/
/  / / / /}/	/ / / / /}/
/	/
/ / / / * 	/ / / / * 
*	*
* @param startDate	* @param startDate
* @param endDate	* @param endDate
* @return	* @return
*/	*/
/ / / / /p/u/b/l/i//  /s/t/a/t/i/c/ /l/o/n/g/ /m/i/l/l/i/s/D//f/f//S/t/r/in/g/ /s/t/a/r/t/D/a/t/e/,/ /S/t/r/i/n/g/ /e/n/d/D/a/t/e// //	/ / / / /p/u/b/l/i/c/ /s/t/a/t/i/c/ /l/o/n/g/ /m/i/l/l/i/s/D/i/f/f/(/S/t/r/i/n/g/ /s/t/a/r/t/D/a/t/e/,/ /S/t/r/i/n/g/ /e/n/d/D/a/t/e/)/ /{/
/ / / / / / / / /r/e/t/u/r/n/ /m/i/l/l//s/D/i/f/f//p/a/r/s/e//s/t/a/r/t/D/a/t/e/f/,/ /p/a/r/s/e//e/n/d/D/a/t/e////	/ / / / / / / / /r/e/t/u/r/n/ /m/i/l/l/i/s/D/i/f/f/(/p/a/r/s/e/(/s/t/a/r/t/D/a/t/e/)/,/ /p/a/r/s/e/(/e/n/d/D/a/t/e/)/)/;/
//  / / /}/	/ / / / /}/
/	/
 / / / /p/u/b/l/i/c/ /s/t/a/t/i/c/  /l/o/n/g/ /m/i/l/l/i/s/D/if/f//T/e/m/p/o/r/a/l/ /s/t/ar/t/D/a/t/e/,//T/e/m/p/o/r/a/l/  /e/n/d/D/a/t/e// /{/	/ / / / /p/u/b/l/i/c/ /s/t/a/t/i/c/ /l/o/n/g/ /m/i/l/l/i/s/D/i/f/f/(/T/e/m/p/o/r/a/l/ /s/t/a/r/t/D/a/t/e/,/ /T/e/m/p/o/r/a/l/ /e/n/d/D/a/t/e/)/ /{/
/ / / // /  //r/e/t/u/r/n//C/h/r/o/n/o/U/n/i/t//M/I/L/L/I/S//b/e/t/w/e/e/n//s/t/a/r/t/D/a/t/e/,/  /e/n/d/D/a/t/e//;/	/ / / / / / / / /r/e/t/u/r/n/ /C/h/r/o/n/o/U/n/i/t/./M/I/L/L/I/S/./b/e/t/w/e/e/n/(/s/t/a/r/t/D/a/t/e/,/ /e/n/d/D/a/t/e/)/;/
/ / / / /}/	/ / / / /}/
/	/
/  / /  / *	/ / / / * 
*	*
*  @return	* @return
*/	*/
/ // / /p/u/b/li/c/ /s/t/a/t/i/c/  /S/t/r/i/n/g/ /f/i/r/s/t/D/a/y/O/f/M/o/n/t/h// /{/	/ / / / /p/u/b/l/i/c/ /s/t/a/t/i/c/ /S/t/r/i/n/g/ /f/i/r/s/t/D/a/y/O/f/M/o/n/t/h/(/)/ /{/
/  / // / /  / / /r/e/t/u/r/n /f/i/rs/t/D/a/y/O/f/M/o/n/t/h//c/u/r/r/e/n/t///./t/o/L/o/c/a/l/D/a/t/e/f/l//;;/	/ / / / / / / / /r/e/t/u/r/n/ /f/i/r/s/t/D/a/y/O/f/M/o/n/t/h/(/c/u/r/r/e/n/t/(/)/./t/o/L/o/c/a/l/D/a/t/e/(/)/)/;/
/ / / / /}/	/ / / / /}/
/	/
/ /  / /p/u/b/l/i/c/ /s/t/a/t/i/c/ //t/r/i/n/g/ /f/i/r/s/t/D/a/y/O/f/M/o/n/t/h//L/o/c/a/l/D/a/t/e/ /l/o/c/a/l/D/a/t/e// /{/	/ / / / /p/u/b/l/i/c/ /s/t/a/t/i/c/ /S/t/r/i/n/g/ /f/i/r/s/t/D/a/y/O/f/M/o/n/t/h/(/L/o/c/a/l/D/a/t/e/ /l/o/c/a/l/D/a/t/e/)/ /{/
