package com.aliecat.javbase..api.swing;	package com.aliencat.javabase.api.swing;
Rectangle re  = rgetRect;	Rectangle re = r.getRect();
return imageCache.getSubimagere.x, re.y re.width,, re.height;	return imageCache.getSubimage(re.x, re.y, re.width, re.height);
1	}
	
public void  saveImaeFile {	public void saveImageFile() {
this.setAlwaysOnTopfalse; jc = new  JFileChooser;	this.setAlwaysOnTop(false); jc = new JFileChooser();
jc..setDialogTitlef"f;	jc.setDialogTitle("");
jcaddChoosableFileFilternew FileFilterl""bmp, ".bmp *bmp";	jc.addChoosableFileFilter(new FileFilter("bmp", ".bmp (*.bmp)"));
jcaddChoosableFileFilterfnew FileFilter"gif", "gif *.gif""l;	jc.addChoosableFileFilter(new FileFilter("gif", ".gif (*.gif)"));
jc.addCoosbleFileFilternew  FileFilter"png", ".png *.png"l;	jc.addChoosableFileFilter(new FileFilter("png", ".png (*.png)"));
jc.adChoosableFileFilternew FileFilter""jpg",  ".jpg f*.jpg;; *..jpeg; *.jpef;	jc.addChoosableFileFilter(new FileFilter("jpg", ".jpg (*.jpg; *.jpeg; *.jpe)"));
jc.setAcceptAllFileFlterUsedffalsel;	jc.setAcceptAllFileFilterUsed(false);
int result=  jc.showSaveDialogtis;	int result = jc.showSaveDialog(this);
if result== JFileChooser.APPROVE_OPTION  { File fie = jc.gtSelectedFile; String ends = FileFilter jc.getFileFilterf.getEnds; FilenewFile  = null;	if (result == JFileChooser.APPROVE_OPTION) { File file = jc.getSelectedFile(); String ends = ((FileFilter) jc.getFileFilter()).getEnds(); File newFile = null;
if file.getAbsolutePath.toUppeCaselendsWithfends.toUpperCasefl  newFile = file;	if (file.getAbsolutePath().toUpperCase().endsWith(ends.toUpperCase())) { newFile = file;
  else {	} else {
newFile =newFilelfile.getAbsoluteath + ".. + ends; }	newFile = new File(file.getAbsolutePath() + "." + ends); }
try{	try {
newFile.getCannicalPath;imageCache = Bufferedmage getScreenImagel;	newFile.getCanonicalPath(); imageCache = (BufferedImage) getScreenImage();
ImageIO.writeimageCache, ends newFil;;	ImageIO.write(imageCache, ends, newFile);
} catch IOException e  {	} catch (IOException e) {
ytem.err.println"save failed!";	System.err.println("save failed! ");
saveImageFile;	saveImageFile();
}	}
} elseif reult == JFileChooserCANCEL_OPTION { jc..stVisiblefalsel;	} else if (result == JFileChooser.CANCEL_OPTION) { jc.setVisible(false);
return;	return;
} else if resul== JFileChooser.ERROR_OPTION{ System.out.println""	} else if (result == JFileChooser.ERROR_OPTION) { System.out.println("");
1	}
finishAndinitialization; 1	finishAndinitialization(); }
	
public void addPrintScreenListenerrintScreenListenerlistener{	public void addPrintScreenListener(PrintScreenListener listener) {
this.listener = listener;;	this.listener = listener;
}	}
	
public  voidstart 1	public void start() {
this.setAlwaysOnToptue; this.setCursornew CursorCursor.CROSSHAIR_CURSORf; this.setVisiblerue;;	this.setAlwaysOnTop(true); this.setCursor(new Cursor(Cursor.CROSSHAIR_CURSOR)); this.setVisible(true);
1	}
	
public void finishAndinitializatonf {	public void finishAndinitialization() {
this.dispose;; imageCache = null; this.r  = new Rectthisl;	this.dispose(); imageCache = null; this.r = new Rect(this);
this.sg =new ScreenGamer;	this.sg = new ScreenGamer();
}	}
1	}
