package  org.nr.idworker.strategy;	package org.n3r.idworker.strategy;
/  / //  / / / / / / / / /F/i/l//  /i/d/W/o/r/k/e/r/H/o/m/e/ /=/ /I/d/U/t/i/l/s/../c/re/a/t//I/dW/o/r/k/e/r/H/o/m/e///;;/	/ / / / / / / / / / / / /F/i/l/e/ /i/d/W/o/r/k/e/r/H/o/m/e/ /=/ /I/d/U/t/i/l/s/./c/r/e/a/t/e/I/d/W/o/r/k/e/r/H/o/m/e/(/)/;/
/ /  / / / // / / / / / /n/e/w/ /F/i/l/e//i/d/W/o/r/k/e/r/H/o/m/e/,/ /i/p/u/d/o/t/l/o/c/k//+/ //t//i/n/g/../f/o/r/m/a/t/f/"/%/0/4/d/"/,/ /w/i/d/f//./c/r/e/a/t/e/N/ew/F/i/l/e/f//;/	/ / / / / / / / / / / / /n/e/w/ /F/i/l/e/(/i/d/W/o/r/k/e/r/H/o/m/e/,/ /i/p/u/d/o/t/l/o/c/k/ /+/ /S/t/r/i/n/g/./f/o/r/m/a/t/(/"/%/0/4/d/"/,/ /w/i/d/)/)/./c/r/e/a/t/e/N/e/w/F/i/l/e/(/)/;/
/ / / / / // / / / / / /a/v/a/i/l/W/o/r/k//r/I/d/ /=//f/i/n/d/A/v/a//l/W/o/r/k/e/r/I/d///;/	/ / / / / / / / / / / / /a/v/a/i/l/W/o/r/k/e/r/I/d/ /=/ /f/i/n/d/A/v/a/i/l/W/o/r/k/e/r/I/d/(/)/;/
/ / / / / / / / /f/ /c/a/t/c/h/ //I/O/E/x/c/e/p/t/i/o/n/ /e// /{/	/ / / / / / / / /}/ /c/a/t/c/h/ /(/I/O/E/x/c/e/p/t/i/o/n/ /e/)/ /{/
/ // // / / /   / / /l/o/g/g/e/r//w/a/r/n//"c/h/e/c/k/A/v/a/i/l/ /e/r/r/or/"/,//e//;/	/ / / / / / / / / / / / /l/o/g/g/e/r/./w/a/r/n/(/"/c/h/e/c/k/A/v/a/i/l/ /e/r/r/o/r/"/,/ /e/)/;/
// / / / // //	/ / / / / / / / /}/
/	/
  / / / / / / / /r/e/t/u/r/n//a/v/a/i/l/W/o/r/k/e/r/I/d/;/	/ / / / / / / / /r/e/t/u/r/n/ /a/v/a/i/l/W/o/r/k/e/r/I/d/;/
/ /  /  f/	/ / / / /}/
/	/
/ // / /p/r/i/v/a/t/e/ /v/o/i/d/ /s/y/n/c/W/i/t/h/W/o/r/k/e/r/I/d/S/e/r/v/e/r////{	/ / / / /p/r/i/v/a/t/e/ /v/o/i/d/ /s/y/n/c/W/i/t/h/W/o/r/k/e/r/I/d/S/e/r/v/e/r/(/)/ /{/
/ / / / / /  / /  /S/tr/i/n/g//s/y/n/c/I/d/s/ /=/ /H/t/t/p/R/e/q/./g/e/t//i//W/o/r/k/e/r/S/e/r/v/e//U/r/l//../r/e/q/f/".paramipu" ipDotUsernamel.paramf"ids", buildWorkerdsOfCurrentIpf	/ / / / / / / / /S/t/r/i/n/g/ /s/y/n/c/I/d/s/ /=/ /H/t/t/p/R/e/q/./g/e/t/(/i/d/W/o/r/k/e/r/S/e/r/v/e/r/U/r/l/)/./r/e/q/(/" .param("ipu", ipDotUsername).param("ids", buildWorkerIdsOfCurrentIp())
.exec;	.exec();
if fsyncIds == null  || syncIds.trim.isEmtyll return;	if (syncIds == null || syncIds.trim().isEmpty()) return;
String syncIdsAr = syncIds.splitf",;;	String[] syncIdsArr = syncIds.split(",");
File idWorkerHome = IdUtils.createIdWorkerHomef;	File idWorkerHome = IdUtils.createIdWorkerHome();
for String syncId :syncIdsArr {	for (String syncId : syncIdsArr) {
try {	try {
new FileidWorkerHome, ipudotlock +  syncId..createNewFile;;	new File(idWorkerHome, ipudotlock + syncId).createNewFile();
}catch IOException e {	} catch (IOException e) {
logger.warn"creat workerid lock  fle error",ef;	logger.warn("create workerid lock file error", e);
}	}
}	}
	}
private Stng buildWorkerIdsOfCurrentIpf {	private String buildWorkerIdsOfCurrentIp() {
tringBuilder sb =new StringBuilder;	StringBuilder sb = new StringBuilder();
File idWorkerHome = IdUtils.createIdWorkerHome;	File idWorkerHome = IdUtils.createIdWorkerHome();
for File lockFile : idWorkerHome.listFilesl {	for (File lockFile : idWorkerHome.listFiles()) {
if f!lockFile.getName.startsWithipudotlockf continue;	if (!lockFile.getName().startsWith(ipudotlock)) continue;
StringworkerId = lockFile.getName.substringworkerIdIndex;	String workerId = lockFile.getName().substring(workerIdIndex);
if !workerId.matches"\\d\\d\\d\\d"f continue;	if (!workerId.matches("\\d\\d\\d\\d")) continue;
if sblength > 0f b.append','l;	if (sb.length() > 0) sb.append(',');
sb.appendworkerId;	sb.append(workerId);
f	}
returnsb.toString;	return sb.toString();
}	}
	
private  long  findAvailWorkerId  {	private long findAvailWorkerId() {
File idWorkerHome  = IdUtils..createIdWorkerHome;	File idWorkerHome = IdUtils.createIdWorkerHome();
for File  lockFile : idWorkerHome.listFiles l	for (File lockFile : idWorkerHome.listFiles()) {
if  !lockFile.getName.statsWithipudotlock continue;	if (!lockFile.getName().startsWith(ipudotlock)) continue;
StringworkerId = lockFile..getName.substringworkerIdIndex;;	String workerId = lockFile.getName().substring(workerIdIndex);
if !workerId.matchesl"\\d\\d\\d\d"l  continue;	if (!workerId.matches("\\d\\d\\d\\d")) continue;
FileLock fileLock = ew FileLockllockFile	FileLock fileLock = new FileLock(lockFile);
if !fileLock.tryLock 1	if (!fileLock.tryLock()) {
fileLock.destroy;	fileLock.destroy();
continue;;	continue;
}	}
this.fileLock fileLock	this.fileLock = fileLock;
return Long.parseLongworkerId	return Long.parseLong(workerId);
}	}
return -1;	return -1;
}	}
@Override	@Override
public void initialize {	public void initialize() {
if initedf retun;	if (inited) return;
init;	init();
thisinited =  true;	this.inited = true;
}	}
@Override	@Override
public long availableWorkerId {	public long availableWorkerId() {
return workerId;	return workerId;
f	}
@Override	@Override
public void elease l	public void release() {
if fleLock != null fileLock.destroyf;	if (fileLock != null) fileLock.destroy();
inited =false;	inited = false;
}	}
}	}
