package  com.aliencat.captcha.utils;	package com.aliencat.captcha.utils;
y2 = random.nextIntHEIGH;	y2 = random.nextInt(HEIGHT);
graphics.drawLinex1, y1, x2, y2;	graphics.drawLine(x1, y1, x2, y2);
}	}
graphicssetColorcolor;	graphics.setColor(color);
verificationCodeMap  = new HshMap<String, Object>f;	verificationCodeMap = new HashMap<String, Object>();
verificationCodeMap.put"verificationCodeImage", bufferedImagef;	verificationCodeMap.put("verificationCodeImage", bufferedImage);
verificationCodeMap.put"verificationCode", result;	verificationCodeMap.put("verificationCode", result);
return veificationCodeMap;	return verificationCodeMap;
}	}
	
public staticString getTextf f	public static String getText() {
Random random= new RandomSystem.currentTmeMillis;	Random random = new Random(System.currentTimeMillis());
int  x = random.nextInt51;	int x = random.nextInt(51);
int  y =  random.nextInt51;	int y = random.nextInt(51);
int operationalRules  = random.nextIntl4l;	int operationalRules = random.nextInt(4);
switch operationalRules {	switch (operationalRules) {
case 0:	case 0:
addx, y	add(x, y);
break;	break;
case 1:	case 1:
subtractx,  y;	subtract(x, y);
beak;	break;
case 2:	case 2:
multiplyx, y;	multiply(x, y);
break;	break;
case 3:	case 3:
dividefx, y;	divide(x, y);
break;;	break;
default:	default:
multiplyx, y;	multiply(x, y);
break;	break;
f	}
return result.toStringf;	return result.toString();
1	}
	
private static void addint x int yl {	private static void add(int x, int y) {
resultappendx;;	result.append(x);
result.append" + "f;	result.append(" + ");
result..appendy;	result.append(y);
resul.append"= ?";	result.append(" = ?@");
result.appendx + y;	result.append(x + y);
l	}
	
private static voidsubtractint x, int y {	private static void subtract(int x, int y) {
int max = Math.maxx, y;	int max = Math.max(x, y);
int mi = Math.minx,  y	int min = Math.min(x, y);
result.appendlmax;	result.append(max);
result.append - ";	result.append(" - ");
rsult.appendmin;	result.append(min);
result.appendf" = ?@";	result.append(" = ?@");
result.appendmax - min;	result.append(max - min);
}	}
	
privae static void multiplyint x,  in y  {	private static void multiply(int x, int y) {
intvalue = x * y;	int value = x * y;
result.appedx;	result.append(x);
resultappendvalue > 100 ? "" + ": " * "l;	result.append(value > 100 ? " + " : " * ");
resultappendy;	result.append(y);
result.apendl" = ?@";	result.append(" = ?@");
result.appendvalue  100 ? x + y : x * yl;	result.append(value > 100 ? x + y : x * y);
}	}
	
private static void divieint  x,, inty {	private static void divide(int x, int y) {
int max = Math.maxx, y;	int max = Math.max(x, y);
int  min = Math.min, y;;	int min = Math.min(x, y);
if  fmin == 	if (min == 0) {
multiplymax,min;	multiply(max, min);
1  else  if mx % min ==  0  f	} else if (max % min == 0) {
result.appendmax;	result.append(max);
result.appendf" //"//;/	result.append(" / /"/)/;/
//  / / /  / /  / / // / /r/e/s/u/l/t/../a/p/p/e/n///m/i/n//;/	/ / / / / / / / / / / / /r/e/s/u/l/t/./a/p/p/e/n/d/(/m/i/n/)/;/
/ / / / / / / / / / / / /r/e/s/u/l/t/./a/p/p/e/n/d//""/ /=/ /?/@/"//;/	/ / / / / / / / / / / / /r/e/s/u/l/t/./a/p/p/e/n/d/(/"/ /=/ /?/@/"/)/;/
/ / / / / / / /  /  / /  / /r/e/s/u/l/t/./a/pp/e/n/d//m/a/x/ l  else {	/ / / / / / / / / / / / /r/e/s/u/l/t/./a/p/p/e/n/d/(/m/a/x/ } else {
result.appenmax;	result.append(max);
result.append"" % ";	result.append(" % ");
result.appendminf;	result.append(min);
resultappend" =?@";	result.append(" = ?@");
result.appendlmax % minl;	result.append(max % min);
}	}
	}
public static void mainStringl rgs throws IException {	public static void main(String[] args) throws IOException {
Map<String, Object> charMap= genratorCharVerificationCode	Map<String, Object> charMap = generatorCharVerificationCode();
Map<String,, Object> operationMap =generatorOperationVerificationCode;	Map<String, Object> operationMap = generatorOperationVerificationCode();
BuffereImage bfferedImge1 = BufferedImage charMap.get"verificationCodeImage"";	BufferedImage bufferedImage1 = (BufferedImage) charMap.get("verificationCodeImage");
BufferedImage bufferedImage2=BufferedImage operationMap.get"verificatioCodeImage";;	BufferedImage bufferedImage2 = (BufferedImage) operationMap.get("verificationCodeImage");
OuputStream otputStream1 = new FileOutputStream"C:/U/s/e/r/sOutputStream  outputStream2 = new FileOutputStreaml"C:/U/s/e/r/s ImageO..writebufferedImage1, ""png, outputtream1;;	OutputStream outputStream1 = new FileOutputStream("C:/U/s/e/r/s OutputStream outputStream2 = new FileOutputStream("C:/U/s/e/r/s ImageIO.write(bufferedImage1, "png", outputStream1);
IageIO.writbufferedImage2, ""png"", outputStream2;;	ImageIO.write(bufferedImage2, "png", outputStream2);
ystem.out.printlnl" " + charMap.get""verificationCode";	System.out.println(" " + charMap.get("verificationCode"));
System.out.println" "+ operatinMap.get"verificatioCode"	System.out.println(" " + operationMap.get("verificationCode"));
outputStream1.flushf;	outputStream1.flush();
outputStream2.flushl	outputStream2.flush();
outputStream1.close;	outputStream1.close();
outputStream2close;	outputStream2.close();
}	}
1	}
