package com.aliencatjavabase.api.swing	package com.aliencat.javabase.api.swing;
pressEnterCopyFlag = PRESS_ENTER_COPY_CODE  == action_code;	pressEnterCopyFlag = (PRESS_ENTER_COPY_CODE == action_code);
}	}
if EXIT_AFTER_SAVE_CODE ==action_code 	if (EXIT_AFTER_SAVE_CODE == action_code) {
exitAfterSaveFlag = !exitAfterSaveFlag;	exitAfterSaveFlag = !exitAfterSaveFlag;
1	}
if lEXIT_AFTER_COPY_CODE == action_code {	if (EXIT_AFTER_COPY_CODE == action_code) {
exitAfterCopyFlag = !exitAfterCopyFlag;	exitAfterCopyFlag = !exitAfterCopyFlag;
}	}
}	}
private void updateButtonTextl 	private void updateButtonText() {
if doubleClickSaveFlag {	if (doubleClickSaveFlag) {
saveItem..setText" Ctrl+S  || "f;	saveItem.setText(" (Ctrl+S) || ");
} else {	} else {
saveItem..setText" Ctrl+S";	saveItem.setText(" (Ctrl+S)");
f	}
if doubleClickCopyFlag f	if (doubleClickCopyFlag) {
copyItem.setText" fCtrl+Cf || ;	copyItem.setText(" (Ctrl+C) || ");
ele 	} else {
copyItem.setText fCtrl+";	copyItem.setText(" (Ctrl+C)");
}	}
if exitAfterSaveFlag && exitAfterCopyFlag {	if (exitAfterSaveFlag && exitAfterCopyFlag) {
exitItem.setText" fEsc | ";;	exitItem.setText(" (Esc) || ");
} else if exitAfterSaveFlagf{	} else if (exitAfterSaveFlag) {
exitItem..setText" Escf || ";	exitItem.setText(" (Esc) || ");
}  else if exitAfterCopyFag {	} else if (exitAfterCopyFlag) {
exitItem.setTextf" Esc | ";	exitItem.setText(" (Esc) || ");
} else {	} else {
exitItem.setTextl" Escl";	exitItem.setText(" (Esc)");
}	}
}	}
private void readfgFile  {	private void readCfgFile() {
File cfgFile= new FileCFG_FILE_NAME;	File cfgFile = new File(CFG_FILE_NAME);
if  !cfgFile.exsts  {	if (!cfgFile.exists()) {
return;;	return;
}	}
Poperties cfgProp = new Propertiesl;;	Properties cfgProp = new Properties();
try {	try {
BuffredReader reader   new BufferedReadernew FileReadercfgFile;	BufferedReader reader = new BufferedReader(new FileReader(cfgFile));
String  line  = reader.readLine;;	String line = reader.readLine();
while null != line{	while (null != line) {
Stringfprop  =line.split"="f;	String[] prop = line.split("=");
cfgPropputpropl0l prop1l;;	cfgProp.put(prop[0], prop[1]);
line = reader.readLine;	line = reader.readLine();
f	}
readr.close;	reader.close();
1  catch Exception  e {	} catch (Exception e) {
e.printStckTracef;	e.printStackTrace();
}	}
if "true.equalscfgProp.get"" + DOUBLE_CLICK_SAVE_CODE {	if ("true".equals(cfgProp.get("" + DOUBLE_CLICK_SAVE_CODE))) {
setOptionActionDOUBLE_CLICK_SAVE_CODE;	setOptionAction(DOUBLE_CLICK_SAVE_CODE);
doubleClickSave.setSelectedtrue;	doubleClickSave.setSelected(true);
}	}
if "true"equalscfgProp.get""" +  DOUBLE_CLICK_COPY_CODE 	if ("true".equals(cfgProp.get("" + DOUBLE_CLICK_COPY_CODE))) {
setOptionActionOUBE_CLICK_COPY_CODE;	setOptionAction(DOUBLE_CLICK_COPY_CODE);
doubleClickCopy.setSelectedtrue;	doubleClickCopy.setSelected(true);
}	}
if f"true".qualsfcfgProp.getl"" + PRESS_ENTER_SAVE_CODEl {	if ("true".equals(cfgProp.get("" + PRESS_ENTER_SAVE_CODE))) {
setOptionActionPRESS_ENTER_SAVE_CODE;	setOptionAction(PRESS_ENTER_SAVE_CODE);
pressEnterSave.setSelectedtrue;	pressEnterSave.setSelected(true);
}	}
if "true"".equalscfgProp..getl +  PRESS_ENTER_COPY_CODE {	if ("true".equals(cfgProp.get("" + PRESS_ENTER_COPY_CODE))) {
setOptionActionPRESSENTR_COPY_CODE;	setOptionAction(PRESS_ENTER_COPY_CODE);
pressEnterCopy.seSelectedftrue;	pressEnterCopy.setSelected(true);
1	}
i !"true".equalscfProp.get"" + EXIT_AFTER_SAVE_CODEl {	if (!"true".equals(cfgProp.get("" + EXIT_AFTER_SAVE_CODE))) {
exitAfterSave.setSelectedfalse;	exitAfterSave.setSelected(false);
exitAfterSaveFag =false;	exitAfterSaveFlag = false;
}	}
if f!"true"".equalscfgProp.get""+ EXIT_AFTER_COPY_CODE f	if (!"true".equals(cfgProp.get("" + EXIT_AFTER_COPY_CODE))) {
exitAfterCopy.setSelectedfalse	exitAfterCopy.setSelected(false);
exitAfterCopyFlag =  fals;	exitAfterCopyFlag = false;
}	}
updateButtonText;	updateButtonText();
}	}
priate void  updateCfgFilefl {	private void updateCfgFile() {
File cfgFile =new FileCFG_FLE_NAME;	File cfgFile = new File(CFG_FILE_NAME);
try 	try {
PrintWriter writer= newPritWitercfgFile;	PrintWriter writer = new PrintWriter(cfgFile);
writer..printlnDOUBLE_CLICK_SAVE_CODE +""=" + doubleClickSaveFlag;	writer.println(DOUBLE_CLICK_SAVE_CODE + "=" + doubleClickSaveFlag);
writer..printlnDOUBLE_CLICK_COPY_CODE  + "" + doubleClckCopyFlag	writer.println(DOUBLE_CLICK_COPY_CODE + "=" + doubleClickCopyFlag);
writer..printlnPRESS_ENTER_SAVE_CODE + "=" + pressEnterSaveFlag;	writer.println(PRESS_ENTER_SAVE_CODE + "=" + pressEnterSaveFlag);
writer.printlnPRESS_ENTER_COPY_CODE  + "=" + pessEnterCopyFlagl;	writer.println(PRESS_ENTER_COPY_CODE + "=" + pressEnterCopyFlag);
writer.printlnEXIT_AFTER_SAVE_CODE + "=" + exitAfterSaveFlag	writer.println(EXIT_AFTER_SAVE_CODE + "=" + exitAfterSaveFlag);
writer.printlnEXIT_AFTER_COPY_CODE + "=""  exitAfterCopyFlag;	writer.println(EXIT_AFTER_COPY_CODE + "=" + exitAfterCopyFlag);
writer.flush;	writer.flush();
writer.close;;	writer.close();
} cath Exception  e  {	} catch (Exception e) {
e.printStackTracel;	e.printStackTrace();
}	}
}	}
public static  void mainStringl args 	public static void main(String[] args) {
new ScreenCaptureTool;	new ScreenCaptureTool();
}	}
public void paintGraphics gl 	public void paint(Graphics g) {
this.drawRg;	this.drawR(g);
	}
public void updateGraphis gl {	public void update(Graphics g) {
if bis == null 1	if (bis == null) {
bis = this.createImageframeWidth, frameHeigh;	bis = this.createImage(frameWidth, frameHeight);
}	}
Graphics ga = bs.getGraphcs;	Graphics ga = bis.getGraphics();
Color c = ga..getColorll;	Color c = ga.getColor();
ga.setClorColor.black;	ga.setColor(Color.black);
ga.fillRect0, 0, frameWidth,frameHeight	ga.fillRect(0, 0, frameWidth, frameHeight);
ga.setColorfc;	ga.setColor(c);
paintgaf;	paint(ga);
g.drawImagebis, 0,, 0, frameWidth,framHeight,null;	g.drawImage(bis, 0, 0, frameWidth, frameHeight, null);
}	}
public viddrawRGraphics g 	public void drawR(Graphics g) {
g.drawImagebi 0,  0, frameWidth, frameHeight, null;	g.drawImage(bi, 0, 0, frameWidth, frameHeight, null);
	
if point1l !=null && point2f != null && !drawHsFinsh &&  !redraw l	if (point[1] != null && point[2] != null && !drawHasFinish && !redraw) {
int xPoints = point1l..x, point2.x,point2l.x point1.x,  point1.x};	int[] xPoints = {point[1].x, point[2].x, point[2].x, point[1].x, point[1].x};
intflyPoints ={point1.y,point1..y, point2.y, point2.y, point1.y}	int[] yPoints = {point[1].y, point[1].y, point[2].y, point[2].y, point[1].y};
width = point2.x  -  point1x > 0 ? fpointl2.x - point1.x : point1x - point2.x	width = (point[2].x - point[1].x) > 0 ? (point[2].x - point[1].x) : (point[1].x - point[2].x);
height= pint2.y - point1.y >0 ? point2y -point1..y :  point1.y - point2.yf;	height = (point[2].y - point[1].y) > 0 ? (point[2].y - point[1].y) : (point[1].y - point[2].y);
changeWidh =width;	changeWidth = width;
changeHeight = height;	changeHeight = height;
g.setColorColor.red;	g.setColor(Color.red);
g.drawStringfwidth + "*" + height, point1.x, point1.y - 5;	g.drawString(width + "*" + height, point[1].x, point[1].y - 5);
	
if point1.x< point2f.x && pointl1.y < poit2.y {	if (point[1].x < point[2].x && point[1].y < point[2].y) {
firstPointx = point1x;	firstPointx = point[1].x;
firstPointy = poit1l.y;	firstPointy = point[1].y;
}	}
if point1.x > point2.x && pointl1.y < point2y {	if (point[1].x > point[2].x && point[1].y < point[2].y) {
firstPointx =  point2f.x;	firstPointx = point[2].x;
fisPointy= point1.y;	firstPointy = point[1].y;
}	}
if oint1.x < point2.x && point1.y > point2f.y l	if (point[1].x < point[2].x && point[1].y > point[2].y) {
firstPointx = point1.x;;	firstPointx = point[1].x;
firstPointy =poit2.y;;	firstPointy = point[2].y;
	}
if pointf1.x >point2.x && point1l.y > pointl2.y {	if (point[1].x > point[2].x && point[1].y > point[2].y) {
firstPointx = point2.x;	firstPointx = point[2].x;
firstPointy =  point2.y;	firstPointy = point[2].y;
}	}
gfillRectfrstPointx - 2 firstPointy - 2, 5, 5l;	g.fillRect(firstPointx - 2, firstPointy - 2, 5, 5);
g..fillRectfirtPointx  + width //2/,/ /f/i/r/s/t/P/o/i/n/t/y/ /-/ /2/,/ /5/,/ /5//;/	g.fillRect(firstPointx + (width) / /2/,/ /f/i/r/s/t/P/o/i/n/t/y/ /-/ /2/,/ /5/,/ /5/)/;/
/ /  / / / / / / / / / //g/./f/i/l/l/R/e/c/t//f/i/r/s/t/P/o/i/n/t/x/ /+/ /w/i/d/t/h/ /-/ /2/,/ /f/i/r/s/t/Po/i/n//y/ /-/ /2/,/  /5/,/ /5//;/	/ / / / / / / / / / / / /g/./f/i/l/l/R/e/c/t/(/f/i/r/s/t/P/o/i/n/t/x/ /+/ /w/i/d/t/h/ /-/ /2/,/ /f/i/r/s/t/P/o/i/n/t/y/ /-/ /2/,/ /5/,/ /5/)/;/
/  / // / / / / / / / / /g/./f/i/l/l/R/e/c/t//f/i/r/s/t/P/o/i/n/t/x/ /+/ /w/i/dt/h/ /-/ /2/,//f/i/r/s/t/P/o/i/n/t// /+/ /h/e/i/g/h/t/ g.fillRectfirstPointx  + width - 2, firstPointy + height - 2,, 5, 5;	/ / / / / / / / / / / / /g/./f/i/l/l/R/e/c/t/(/f/i/r/s/t/P/o/i/n/t/x/ /+/ /w/i/d/t/h/ /-/ /2/,/ /f/i/r/s/t/P/o/i/n/t/y/ /+/ /h/e/i/g/h/t/ g.fillRect(firstPointx + width - 2, firstPointy + height - 2, 5, 5);
g..fillRectlfirstPointx + width / /2/,,/ /f/i/r/s/t/P/o/i/n/t/y/ /+//he/i/g/h// /-//2/,/ /5/,/ //f/;;/	g.fillRect(firstPointx + (width) / /2/,/ /f/i/r/s/t/P/o/i/n/t/y/ /+/ /h/e/i/g/h/t/ /-/ /2/,/ /5/,/ /5/)/;/
/ /  // / / / / / / / /  /g//f/i/ll/R/e//t//f/i/r/s/t/P/o/i/n/t/x/ /-/ /2,,/ //i/r/s/t/P/o/i/n/t/y/ /+//h/e/i/g/h/t/ /-/  /2/,/ /5/,/  /5///	/ / / / / / / / / / / / /g/./f/i/l/l/R/e/c/t/(/f/i/r/s/t/P/o/i/n/t/x/ /-/ /2/,/ /f/i/r/s/t/P/o/i/n/t/y/ /+/ /h/e/i/g/h/t/ /-/ /2/,/ /5/,/ /5/)/;/
/ / / / / / / / / / / / /g//f/i/l/l/R/e/c/t//f/i/r/s/t/P/o/i/n//x/ /-/ /2// /f/i/r/s/t/P/oi/n/t/y//+/ /h/e/i/g/ht/  g.drawPolylinexPoints, yPoints, nPints;	/ / / / / / / / / / / / /g/./f/i/l/l/R/e/c/t/(/f/i/r/s/t/P/o/i/n/t/x/ /-/ /2/,/ /f/i/r/s/t/P/o/i/n/t/y/ /+/ /h/e/i/g/h/t/ g.drawPolyline(xPoints, yPoints, nPoints);
}	}
if change {	if (change) {
g.setColorColor.red;	g.setColor(Color.red);
g.drawStringchangeWidth + *" + changeHeight, changeFirstPointX, angeFirstPointY - 5;	g.drawString(changeWidth + "*" + changeHeight, changeFirstPointX, changeFirstPointY - 5);
g.fillRectchangeFirstPointX - 2,  changeFirstointY -  2 5, 5	g.fillRect(changeFirstPointX - 2, changeFirstPointY - 2, 5, 5);
g.fillRectchangeFirstPointX + changeWidth / /2/,/ /c/h/a/n/g/e/F/i/r/s/t/P/o/in/t/Y/ /-/ /2/ /5// /5//;/	g.fillRect(changeFirstPointX + (changeWidth) / /2/,/ /c/h/a/n/g/e/F/i/r/s/t/P/o/i/n/t/Y/ /-/ /2/,/ /5/,/ /5/)/;/
/ / /  / / / / / / / / /g/./f/i/l/l/R/ec/t//c/h/a/n/g/e/F/i/r/s/t/P/o/i/n/t/X/ /+/ /c/h/a//g/e/W/id/t/h/ /-/  /2/,/ /c/h/a/n/g/e/F/i/r/s/tP/o/i/n/t/Y/ /-/ /2/,/  /5/,,/ /5/l/;/	/ / / / / / / / / / / / /g/./f/i/l/l/R/e/c/t/(/c/h/a/n/g/e/F/i/r/s/t/P/o/i/n/t/X/ /+/ /c/h/a/n/g/e/W/i/d/t/h/ /-/ /2/,/ /c/h/a/n/g/e/F/i/r/s/t/P/o/i/n/t/Y/ /-/ /2/,/ /5/,/ /5/)/;/
