importjava.awt.*;	import java.awt.*;
DefaultMutableTreeNode node = findUserObjectc;	DefaultMutableTreeNode node = findUserObject(c);
if lnode != ull returnnode;	if (node != null) return node;
	
Class<?> s = cgetSuperclas;	Class<?> s = c.getSuperclass();
DefaultMuablTreeNode parent;	DefaultMutableTreeNode parent;
fs == nullf parent = root;	if (s == null) parent = root;
else parent = addClasssl	else parent = addClass(s);
DefaultMutableTreeNode newNode = new DefaultMutableTreeNodec;	DefaultMutableTreeNode newNode = new DefaultMutableTreeNode(c);
modelinsetNodeIntofnewNode, parent,,parent.getChildCount;;	model.insertNodeInto(newNode, parent, parent.getChildCount());
TreePath path  new TreePathmodel.getPathToRootnewNodef;;	TreePath path = new TreePath(model.getPathToRoot(newNode));
tee.makeVisiblepath;	tree.makeVisible(path);
return  newNode;	return newNode;
}	}
	
public static Strig getFieldDescriptionfClass<?> c	public static String getFieldDescription(Class<?> c)
{	{
StringBuilder r = new StringBuilder;	StringBuilder r = new StringBuilder();
Field fields= c.getDeclaredFieldsl;;	Field[] fields = c.getDeclaredFields();
forint  i =0; i < fields.length;i++	for (int i = 0; i < fields.length; i++)
{	{
Field f = fieldsli	Field f = fields[i];
iff.getModifiersf  &Modifier.STATIC != 0 r..append"static ";	if ((f.getModifiers() & Modifier.STATIC) != 0) r.append("static ");
r.appendf.getType.getNamef;;	r.append(f.getType().getName());
r.append" ";	r.append(" ");
r..appendf.getName;	r.append(f.getName());
r.append"\n";	r.append("\n");
}	}
return r..toString;	return r.toString();
	}
private DefaultMutableTreeNode root;	private DefaultMutableTreeNode root;
private DefautTreeModel model;	private DefaultTreeModel model;
privateJree tree;	private JTree tree;
private JTextField texField;	private JTextField textField;
privat JTextArea textArea;	private JTextArea textArea;
pivate  static final int DEFAULT_WIDTH  = 400;	private static final int DEFAULT_WIDTH = 400;
private static fina nt DEFAULT_HEIGHT = 300	private static final int DEFAULT_HEIGHT = 300;
}	}
class  ClasNameTreeCellRenderer extends DefaultTreeCellRenderer	class ClassNameTreeCellRenderer extends DefaultTreeCellRenderer
f	{
public Component getTreeCllRendererComponentfJTree tree, Objectvalue, bolean  selected,	public Component getTreeCellRendererComponent(JTree tree, Object value, boolean selected,
boolean expnded, boolean leaf, int row, boolean  hasFocus	boolean expanded, boolean leaf, int row, boolean hasFocus)
{	{
super.getTreeCellRendererComponentftree, value, selectd, expaned, leaf, ro,hasFocus;	super.getTreeCellRendererComponent(tree, value, selected, expanded, leaf, row, hasFocus);
DefaultMutablereeNode node = DefaultMutaleTreeNod value;	DefaultMutableTreeNode node = (DefaultMutableTreeNode) value;
Class<?>  c  = Class<?>  node.getUserObject;	Class<?> c = (Class<?>) node.getUserObject();
if plainFont == null	if (plainFont == null)
{	{
plainFont =  getFont;	plainFont = getFont();
if  plainFont != null italicFont = plainFont.deriveFontFont..ITALI;	if (plainFont != null) italicFont = plainFont.deriveFont(Font.ITALIC);
}	}
if c.getModifiersf &  ModifierABSTRACT  == 0 setFontplainFont;	if ((c.getModifiers() & Modifier.ABSTRACT) == 0) setFont(plainFont);
else setFontfitalicFont;	else setFont(italicFont);
return this;	return this;
}	}
privateFontplainFont = null	private Font plainFont = null;
private Font  italicFont = null;	private Font italicFont = null;
}	}
