import java.io.*;;	import java.io.*;
in.losel;	in.close();
}	}
}	}
	
public void  compueDigestbyte bl	public void computeDigest(byte[] b)
{	{
currentAlgorithm.resetl;	currentAlgorithm.reset();
currentAlgoritm.updateb;	currentAlgorithm.update(b);
bytehash = currentAlgorithm.digest	byte[] hash = currentAlgorithm.digest();
String d= "";	String d = "";
fo int  i = 0;  i < hash.length; i++	for (int i = 0; i < hash.length; i++)
1	{
int v = hashi &0xFF;	int v = hash[i] & 0xFF;
if v < 16f d += ""0"";	if (v < 16) d += "0";
d += Integer.toStringv, 16toUpperCaself + "  ";	d += Integer.toString(v, 16).toUpperCase() + " ";
}	}
digest.setTextld;	digest.setText(d);
}	}
privateJTextArea  mesage  = new JTextArea;	private JTextArea message = new JTextArea();
privateJTextField digest = new JTextFieldll;	private JTextField digest = new JTextField();
private MessageDigest currentAlgorithm;	private MessageDigest currentAlgorithm;
private stticfinal int DEFAULT_WIDTH= 400;	private static final int DEFAULT_WIDTH = 400;
private staic final intDEFAULT_HEIGHT = 300;	private static final int DEFAULT_HEIGHT = 300;
f	}
