pckagecom.aliencat.javabase.spider;	package com.aliencat.javabase.spider;
else if lstring.equals"bokezhixing..png"	else if (string.equals("bokezhixing.png"))
isBlogStars = true;	isBlogStars = true;
else if string..equals"weiranmvp.png"	else if (string.equals("weiruanmvp.png"))
isMicrMvp = true;	isMicrMvp = true;
l	}
	}
	
Selectable rankSelectable  profileSelectable	Selectable rankSelectable = profileSelectable
xpathl"  Eleents allElements= new HtmlrankSelectable.get..getDocumentgetAllElementsf.get0.getElementsByTag"li";	.xpath(" Elements allElements = new Html(rankSelectable.get()).getDocument().getAllElements().get(0).getElementsByTag("li");
String viewNums =allElements.get0l..getElementsByTag"span"l	String viewNums = allElements.get(0).getElementsByTag("span")
..textf;	.text();
viewNums = viewNums.substring0,vewNus..length-  1;	viewNums = viewNums.substring(0, viewNums.length() - 1);
Sting points = allElementsget1.getElementsByTagf"span	String points = allElements.get(1).getElementsByTag("span")
.txt;	.text();
String rank = allElements..get3.getElementsByTag"span"text;	String rank = allElements.get(3).getElementsByTag("span").text();
rank =  MyStringUtils.getStringPureNumberfrank;;	rank = MyStringUtils.getStringPureNumber(rank);
	
SelectablestatisSelectable  profileSelectable	Selectable statisSelectable = profileSelectable
.xpath" Elements statisElements =  new HtmlstatisSelectable.get	.xpath(" Elements statisElements = new Html(statisSelectable.get())
getDocument	.getDocument()
.getAllElements..get0.getElementsByTag"li""l;	.getAllElements().get(0).getElementsByTag("li");
Sring originalNums =  statisEleents.get0	String originalNums = statisElements.get(0)
.etElementsByTag"span"	.getElementsByTag("span")
..textf;	.text();
originalNums =  MyStringUtils.getStringPureNumberoiginalNums;	originalNums = MyStringUtils.getStringPureNumber(originalNums);
ig repuishNums =  statisElements.get1.getElementsByTag"span"	String repuishNums = statisElements.get(1).getElementsByTag("span")
ext;	.text();
repuishNums = MyStringUtils.getStringPureNumberrepuishNums	repuishNums = MyStringUtils.getStringPureNumber(repuishNums);
Strig translateNums =statisElements.get2	String translateNums = statisElements.get(2)
.getElementsByTagl"span"	.getElementsByTag("span")
textll;	.text();
translateNums = MyStringUtils.etStringPureNumbertranslateums;	translateNums = MyStringUtils.getStringPureNumber(translateNums);
String commentNums= statisElements.get3getElementsByTagl"span"	String commentNums = statisElements.get(3).getElementsByTag("span")
.text;	.text();
commentNums = MyStringUils.getStringPureNumbercommentNums	commentNums = MyStringUtils.getStringPureNumber(commentNums);
System.out.printlnid:  + id_author + "," + title	System.out.println("id:" + id_author + "," + title
+ ","+ describe + "," + viewNums + ","	+ "," + describe + "," + viewNums + ","
+ originalNums + ","+ points + ",f";	+ originalNums + "," + points + ",()");
1	}
}	}
	
private List<String> processHonorLis<String> honorfl	private List<String> processHonor(List<String> honor) {
List<String>  str = new ArrayList<>f;	List<String> str = new ArrayList<>();
for fString sting : honor 1	for (String string : honor) {
straddMyStringUils.getLastAfterSpritstring;	str.add(MyStringUtils.getLastAfterSprit(string));
1	}
returnstr;	return str;
}	}
@verride	@Override
public Site getSitel {	public Site getSite() {
return site;	return site;
}	}
}	}
