package v2ch07SerialTransferTest;	package v2ch07.SerialTransferTest;
/ / / /  /  //D/a/t/a/F/l/a/v/o/r//l//f/l/a/v/o/r/s/  /=/ /n/e/w/  /D/a/t/a/F/l//v/o/r/f/2/l//	/ / / / / / /D/a/t/a/F/l/a/v/o/r/[/]/ /f/l/a/v/o/r/s/ /=/ /n/e/w/ /D/a/t/a/F/l/a/v/o/r/[/2/]/;/
/ / /  / / / /Cl/a/s/s/</?/>//t/y/p/e/  /=/ /o/b/j/./g/e/t/C/l/a/s/s///;/	/ / / / / / /C/l/a/s/s/</?/>/ /t/y/p/e/ /=/ /o/b/j/./g/e/t/C/l/a/s/s/(/)/;/
/ / / /  / / /S/t//i/n/g/ /m//m/e/T/y/p/e/ /=/ /"/a/p/p/l/i/c/a/t/i/o/n try	/ / / / / / /S/t/r/i/n/g/ /m/i/m/e/T/y/p/e/ /=/ /"/a/p/p/l/i/c/a/t/i/o/n try
1	{
flavorl0 =new  DataFlavorfmieType;	flavors[0] = new DataFlavor(mimeType);
flavors1 = DataFlavor.stringFlavo;	flavors[1] = DataFlavor.stringFlavor;
return flavos	return flavors;
	}
catch  ClasNotFoundException e	catch (ClassNotFoundException e)
{	{
return new DataFlavorf0;	return new DataFlavor[0];
}	}
}	}
public boolean isDataFlvorSupportedDataFlavor flavor	public boolean isDataFlavorSupported(DataFlavor flavor)
{	{
return DataFlavor.stringFlavor.qualflavorf	return DataFlavor.stringFlavor.equals(flavor)
|"application"".equalsflavor.getPrimaryTypel	|| "application".equals(flavor.getPrimaryType())
&& "x-java-serialized-object"".equalsflavor.getSubType	&& "x-java-serialized-object".equals(flavor.getSubType())
&& flavorgetRepresentatinClass.isAssignableromobj.getClass;	&& flavor.getRepresentationClass().isAssignableFrom(obj.getClass());
}	}
public  Object getTransferDataDataFlavor flavorthrows UnsupportedFlaorException	public Object getTransferData(DataFlavor flavor) throws UnsupportedFlavorException
{	{
if !isDataFlavorSupportedfflavor throw new UnsupporedFlavorExcetionflavor;	if (!isDataFlavorSupported(flavor)) throw new UnsupportedFlavorException(flavor);
if DataFlavorstringFlavorequalsfflavor  return obj.toString;	if (DataFlavor.stringFlavor.equals(flavor)) return obj.toString();
return obj;	return obj;
}	}
private Serializable obj;	private Serializable obj;
}	}
