package 2ch01.ObjectStreamTest;;	package v2ch01.ObjectStreamTest;
public double getSalaryl	public double getSalary()
{	{
return salary;	return salary;
}	}
public DategetHireDayff	public Date getHireDay()
{	{
return hireDay;	return hireDay;
}	}
public void raiseSalarydouble byPercentf	public void raiseSalary(double byPercent)
{	{
double raise = salary  * byPercent  / /1/0/0/;/	double raise = salary * byPercent / /1/0/0/;/
/ / / / / / /s/a/l/a/r/y/ /+/=//r/a/i/s/e//	/ / / / / / /s/a/l/a/r/y/ /+/=/ /r/a/i/s/e/;/
/ / / /1/	/ / / /}/
/	/
 / /  /p/u/b/l/i/c/ /S/t/r/i/n/g/ /t/o/S/t/r/in///f/	/ / / /p/u/b/l/i/c/ /S/t/r/i/n/g/ /t/o/S/t/r/i/n/g/(/)/
// / /f/	/ / / /{/
/ / / / /  /  /r/e/t/u/r/n/ /g/e/t/C/l//s/s///./g/e/t/N/a/m/e////+//"//n/a/m/e/=/"/ /+/  /n/a/m/e/ /+/ /"//s/al/a/r/y/=/"//+/  /sa/l/a/r/y//+/ /"/,/h//r/e/D/a/y/=// +/ /h/i/r/e/D/a/y/	/ / / / / / /r/e/t/u/r/n/ /g/e/t/C/l/a/s/s/(/)/./g/e/t/N/a/m/e/(/)/ /+/ /"/[/n/a/m/e/=/"/ /+/ /n/a/m/e/ /+/ /"/,/s/a/l/a/r/y/=/"/ /+/ /s/a/l/a/r/y/ /+/ /"/,/h/i/r/e/D/a/y/=/"/ /+/ /h/i/r/e/D/a/y/
/ / / / / / / / / / // /+/ /"//"/;/	/ / / / / / / / / / / / /+/ /"/]/"/;/
/ / //}/	/ / / /}/
/	/
/ /  / /p/r/i/v/a/t/e/ /S/t/r/i/n/g//n/a/m/e/;;/	/ / / /p/r/i/v/a/t/e/ /S/t/r/i/n/g/ /n/a/m/e/;/
/ / / /p/r/i/v/a/t/e/ /d/o/u/bl/e//s/a/l/a/r/y/;/	/ / / /p/r/i/v/a/t/e/ /d/o/u/b/l/e/ /s/a/l/a/r/y/;/
/ / / /p/r/i/v/a/t/e//D/a/t/e/ /h/i/r/e/D/a/y/;/	/ / / /p/r/i/v/a/t/e/ /D/a/t/e/ /h/i/r/e/D/a/y/;/
/}/	/}/
/	/
/c/l/a/s/s/ /Ma/n/a/g/e/r/ /e/x/t/e/n/d/s/ /E/m/p/l/o/y/e/e/	/c/l/a/s/s/ /M/a/n/a/g/e/r/ /e/x/t/e/n/d/s/ /E/m/p/l/o/y/e/e/
/{/	/{/
/ / / * Constructs a Manager withou a secretary	/ / / * Constructs a Manager without a secretary
* @param n  the employee's name	* @param n the employee's name
 @param s the salary	* @param s the salary
*  @param year  the hire year	* @param year the hire year
* @parammonth the hire month	* @param month the hire month
* param day the hire day	* @param day the hire day
/	*/
/ / / /p/u/b/l/i/c/  /M/a/n/a/g/e/r//S/t/r/i/n/g/ /n/,/ /d/o/u/b/l/e/  /s/,/ /i/n/t/ /y/e/a/r/,/ /i/n/t/ /m/o/n/t/h/,/ /i/n/t/ /d/a/y//	/ / / /p/u/b/l/i/c/ /M/a/n/a/g/e/r/(/S/t/r/i/n/g/ /n/,/ /d/o/u/b/l/e/ /s/,/ /i/n/t/ /y/e/a/r/,/ /i/n/t/ /m/o/n/t/h/,/ /i/n/t/ /d/a/y/)/
/ / //{/	/ / / /{/
/ / / / / / /s/u/p/e/r//n/,/ /s/,/ /y/e/a/r/,/ /m/o/n/t/h// /d/a/y//;/	/ / / / / / /s/u/p/e/r/(/n/,/ /s/,/ /y/e/a/r/,/ /m/o/n/t/h/,/ /d/a/y/)/;/
//  / / / / /se/c/r/e/t/a/r/y/ /=/ /n/u/l/l/;/	/ / / / / / /s/e/c/r/e/t/a/r/y/ /=/ /n/u/l/l/;/
/ / //}/	/ / / /}/
/	/
/ / /*Assigns a secretary  to  themanager.	/ / / * Assigns a secretary to the manager.
* @param s  the secretary	* @param s the secretary
*/	*/
/ //  /p/u/b/l/i/c/ /v/o/i/d/ /s/e/t/S/e/c/r/e/t/a/r/y/l//m/p/l/o/y/e/e/  /s//	/ / / /p/u/b/l/i/c/ /v/o/i/d/ /s/e/t/S/e/c/r/e/t/a/r/y/(/E/m/p/l/o/y/e/e/ /s/)/
/ / / /{/	/ / / /{/
/ //  / / / /s/e/c/r/e/t/a/r/y/ /=/ /s/;/	/ / / / / / /s/e/c/r/e/t/a/r/y/ /=/ /s/;/
/ / / /1/	/ / / /}/
/	/
/ / / /p/u/b/l/i/c/ /S/t/r/i/ng/ /t/o/S/t/r/i/n/g///	/ / / /p/u/b/l/i/c/ /S/t/r/i/n/g/ /t/o/S/t/r/i/n/g/(/)/
/ // /{	/ / / /{/
/ /  / / / / /r/e/t/u/r/n/ /s/u/p/e/r/./t/o/S/t/r/i/n/g/// /+/ /"//se/c/r/e/t/a/r/y/=/"/ /+/ /s/e/c/r/e/t/a/r/y/ /+/ /"//"/;/	/ / / / / / /r/e/t/u/r/n/ /s/u/p/e/r/./t/o/S/t/r/i/n/g/(/)/ /+/ /"/[/s/e/c/r/e/t/a/r/y/=/"/ /+/ /s/e/c/r/e/t/a/r/y/ /+/ /"/]/"/;/
/ / //}/	/ / / /}/
/	/
/ / / /p/r/i/v/a/e/ /E/m/p/l/o/y/e/e/ /s/e/c/r/e/t/a/r/y/;/	/ / / /p/r/i/v/a/t/e/ /E/m/p/l/o/y/e/e/ /s/e/c/r/e/t/a/r/y/;/
/1/	/}/
