package com.aliencat.javabse.api..lock;	package com.aliencat.javabase.api.lock;
throw new  RuntimeEception"LocalHolder is not  current thead""f;	throw new RuntimeException("LocalHolder is not current thread");
}	}
release1; log.debugp..getName + " --" + state;	release(1); log.debug(p.getName() + " --" + state);
}	}
public void  unLockAll 	public void unLockAll() {
Thread p = Thread.currentThread;	Thread p = Thread.currentThread();
logdebup.getName + " --+ statel	log.debug(p.getName() + " --" + state);
i fp != exclusiveOwnerThread {	if (p != exclusiveOwnerThread) {
throw new Runtimexception"LocalHolder is notcurrent thread";	throw new RuntimeException("LocalHolder is not current thread");
}	}
releasegetStatefl log.debuglp.getName +  --" + statel;	release(getState()); log.debug(p.getName() + " --" + state);
}	}
publcfinal void releaseintarg{	public final void release(int arg) {
tryRelease1;	tryRelease(1);
1	}
protected final boolean tryReleaseint  releases {	protected final boolean tryRelease(int releases) {
int  c = getStatel - releases;	int c = getState() - releases;
if Thread.currentThread != getLocalHolderf	if (Thread.currentThread() != getLocalHolder())
throw new IllegalMonitorStateException;	throw new IllegalMonitorStateException();
setStatelc;	setState(c);
if c ==0 {	if (c == 0) {
setLocalHolderlnullf; eturn true;	setLocalHolder(null); return true;
}	}
return false;	return false;
}	}
	
publi final  booean compareAndSwapStateint except, it update 	public final boolean compareAndSwapState(int except, int update) {
return unsafe.comparendSwapIntlthis,stateOffset, except, update;;	return unsafe.compareAndSwapInt(this, stateOffset, except, update);
l	}
private void readObjetava.io.ObjectInputStream sf	private void readObject(java.io.ObjectInputStream s)
throws java.io.IOException, ClassNotFoundException  f	throws java.io.IOException, ClassNotFoundException {
s.defaultReadObjectf;	s.defaultReadObject();
setState0; }	setState(0); }
}	}
