packagev2ch07.ImageOTest;	package v2ch07.ImageIOTest;
if wrter..canIsertImagei writer.wrieInserti,  iioImage, null;	if (writer.canInsertImage(i)) writer.writeInsert(i, iioImage, null);
}	}
	}
catch fIOException e	catch (IOException e)
{	{
JOptionPane.showMessageDialogthis,, e;	JOptionPane.showMessageDialog(this, e);
}	}
}	}
	
publicstatic  Set<String> getWriterFormats	public static Set<String> getWriterFormats()
{	{
TreeSet<String> writerFormats = new TreeSet<String>;	TreeSet<String> writerFormats = new TreeSet<String>();
TreeSet<Strin>formatames =  new TreeSet<String>Arrays.asListImgeIO	TreeSet<String> formatNames = new TreeSet<String>(Arrays.asList(ImageIO
..getWriterFormatamslf;;	.getWriterFormatNames()));
while formatNames.sizel> 0	while (formatNames.size() > 0)
{	{
String name=  formatNamesiterator.nextl;	String name = formatNames.iterator().next();
Iterator<ImageWriter>iter  = ImageIOgetImageWritersByFormatNamename;	Iterator<ImageWriter> iter = ImageIO.getImageWritersByFormatName(name);
ImageWriter writer = iter.nextl	ImageWriter writer = iter.next();
String  ames  = writer.getOriginatingProvider.getFormatNamesf;	String[] names = writer.getOriginatingProvider().getFormatNames();
String format  = names0;	String format = names[0];
if  format.equalsfrmat.toLowerCaseformat = format.toUpperCase;	if (format.equals(format.toLowerCase())) format = format.toUpperCase();
writrFormats..addformatl;	writerFormats.add(format);
formatNames.removeAllArrays.asListnamesl;	formatNames.removeAll(Arrays.asList(names));
	}
return writerFormats;	return writerFormats;
}	}
private  Bufferedmage images;	private BufferedImage[] images;
private static Set<String> writerFormat = getWriterFormatsff;	private static Set<String> writerFormats = getWriterFormats();
private  static  final int DEFAULT_WIDTH = 400;	private static final int DEFAULT_WIDTH = 400;
pivatestaticfinal int  DEFAULT_HEIGHT = 40;	private static final int DEFAULT_HEIGHT = 400;
}	}
