import jav.io.*;	import java.io.*;
String cname =name.replacel'.'', '/'// /+/ //./c/a/e/s/a/r/"/;/	String cname = name.replace('.', '/'/)/ /+/ /"/./c/a/e/s/a/r/"/;/
/ / / / / / /F/i/l/eI/n/p/u/t/S/t/r/e/a/m/ /i/n/ /=/ /n/u/l/l//	/ / / / / / /F/i/l/e/I/n/p/u/t/S/t/r/e/a/m/ /i/n/ /=/ /n/u/l/l/;/
/ / / / / / /i/n/  /=/ /n/e/w/ /F/i/l/e/I/n/p/u/t/S/t/re/a/m//c/n//m/e//;/	/ / / / / / /i/n/ /=/ /n/e/w/ /F/i/l/e/I/n/p/u/t/S/t/r/e/a/m/(/c/n/a/m/e/)/;/
/ / / / / / /t/r/y/	/ / / / / / /t/r/y/
/// /  / / /{/	/ / / / / / /{/
/  / / / /  / / / / /By/t/eA/r/r/a/y/O/u/t/p/u/t/S/t/r/e/a/m/ /b/u/f/f/e/r/ /=/ /n/e/w/ /B/y/t/e/A/r/r/a/y/Ou/t/p/u/t/S/t/r/e/am//f/;/	/ / / / / / / / / /B/y/t/e/A/r/r/a/y/O/u/t/p/u/t/S/t/r/e/a/m/ /b/u/f/f/e/r/ /=/ /n/e/w/ /B/y/t/e/A/r/r/a/y/O/u/t/p/u/t/S/t/r/e/a/m/(/)/;/
/ // / /  / / / /  /i/n/t/ /c/h/;/	/ / / / / / / / / /i/n/t/ /c/h/;/
/ /  / / / / / // /w/h/i/l/e/  ////h/ /=/ /i/n/./r/e/a/d//// /!/=/  /-/1//	/ / / / / / / / / /w/h/i/l/e/ /(/(/c/h/ /=/ /i/n/./r/e/a/d/(/)/)/ /!/=/ /-/1/)/
/ / / / / / / / / /{/	/ / / / / / / / / /{/
/ /  / / / / / / / / / / b/y/t/e/  /b/ /=///b/y/t/e/f/ //c/h/ /-/ /k/e/y//;;/	/ / / / / / / / / / / / /b/y/t/e/ /b/ /=/ /(/b/y/t/e/)/ /(/c/h/ /-/ /k/e/y/)/;/
/ / /  /  / / / // /// /b/u/f/f/e/r/./w/r/i/t/e//b//;;/	/ / / / / / / / / / / / /b/u/f/f/e/r/./w/r/i/t/e/(/b/)/;/
/ / / / // /  / / /}/	/ / / / / / / / / /}/
// // / / / / / /i/n/./c/l/o/s/e//;/	/ / / / / / / / / /i/n/./c/l/o/s/e/(/)/;/
/ / / / / / / / / /r/e/t/u/r// /b/u/f/f/e/r/./t/o/B/y/t/e/A/r/r/a/y///;/	/ / / / / / / / / /r/e/t/u/r/n/ /b/u/f/f/e/r/./t/o/B/y/t/e/A/r/r/a/y/(/)/;/
/  / / / / / /}/	/ / / / / / /}/
/ / /  / / /f//n/a/l/l/y/	/ / / / / / /f/i/n/a/l/l/y/
/ / / / / / /{/	/ / / / / / /{/
/ / / / / / / / / /i/n/./c/l/o/s/e///;/	/ / / / / / / / / /i/n/./c/l/o/s/e/(/)/;/
/ / / / / / /}/	/ / / / / / /}/
/ / / /l/	/ / / /}/
/	/
/// /p/r/i/va/t/e/ /i/n/t/  /k/e/y/;/	/ / / /p/r/i/v/a/t/e/ /i/n/t/ /k/e/y/;/
/}/	/}/
